name,locations,taxonomy_kingdom,taxonomy_phylum,taxonomy_class,taxonomy_order,taxonomy_family,taxonomy_genus,taxonomy_scientific_name,characteristics_prey,characteristics_name_of_young,characteristics_group_behavior,characteristics_estimated_population_size,characteristics_biggest_threat,characteristics_most_distinctive_feature,characteristics_other_name(s),characteristics_gestation_period,characteristics_habitat,characteristics_diet,characteristics_average_litter_size,characteristics_lifestyle,characteristics_common_name,characteristics_number_of_species,characteristics_location,characteristics_slogan,characteristics_group,characteristics_color,characteristics_skin_type,characteristics_top_speed,characteristics_lifespan,characteristics_weight,characteristics_length,characteristics_age_of_sexual_maturity,characteristics_age_of_weaning,characteristics_litter_size,characteristics_predators,characteristics_type,characteristics_height,characteristics_distinctive_feature,characteristics_temperament,characteristics_training,characteristics_wingspan,characteristics_incubation_period,characteristics_age_of_fledgling,characteristics_average_clutch_size,characteristics_main_prey,characteristics_water_type,characteristics_age_of_independence,characteristics_nesting_location,characteristics_age_of_molting,characteristics_favorite_food,characteristics_origin,characteristics_migratory,domesticos,protegidos,exoticos
Sea Eagle,"['Africa', 'Antarctica', 'Asia', 'Central-America', 'Eurasia', 'Europe', 'North-America', 'Ocean', 'Oceania']",Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Haliaeetus Savigny,Haliaeetus,"Fish, rodents, small birds, reptiles, and amphibians",,,More than a million,"Habitat loss, poisoning, and hunting",The contrasting dark and light plumage,Fish eagles and erns,,"Next to rivers, lakes, and seas",Carnivore,,,sea eagle,10.0,everywhere except South America,,,BrownYellowBlackWhite,Feathers,98 mph,About 20 years on average,up to 20 pounds,,,,,,bird,Up to 3.3 feet,,,,up to seven feet,one month,,2.0,,,,trees and cliffs,two to three months,,,1.0,1,0,0
Seagull,"['Africa', 'Antarctica', 'Asia', 'Central-America', 'Eurasia', 'Europe', 'North-America', 'Ocean', 'Oceania', 'South-America']",Animalia,Chordata,Aves,Charadriiformes,Laridae,Larus,Larus argentatus,"Fish, insects, earthworms, rodents, reptiles, amphibians, birds, and more",,,millions,Overfishing and climate change,"The long bill, hooked at the end",mews,,Coasts and beaches,Carnivore,,,seagull,-2.0,,,,BrownGreyYellowRedBlackWhite,,,up to 49 years,four ounces to four pounds,,,,,"Raccoons, cats, foxes, minks, and birds of prey",bird,11-30 inches,,,,up to 67 inches,one month,,2.0,,,,Ground and cliff sites,one to two months,,,1.0,1,0,0
Senegal Parrot,['Africa'],Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Poicephalus,Poicephalus senegalus,,,,,Habitat loss,The bright colors and V-shaped chest markings,,,Savannas and woodlands,Herbivore,,,Senegal Parrot,1.0,Western Africa,,,GreyYellowGreenOrange,Feathers,,,115-125g,9-10 inches,,,,"Raptors, snakes, monkeys, and big cats",Bird,,,,,6 inches,25-28 days,,1.0,,,,Holes of tall trees,9-12 weeks,"Fruits, seeds, and grains",,,1,0,0
Song Sparrow,"['Central-America', 'North-America']",Animalia,Chordata,Aves,Passeriformes,Passerelidae,Melospiza,Melospiza melodia,Insects,"Nestling, fledgling",Solitary,Over 100 million,Habitat loss,Distinctive brown and gray stripes,Song sparrow,12 to 14 days,"Shrubs, gardens, woodlands",Omnivore,,,,,North America,,,BrownGreyWhiteChestnut,Feathers,30 mph,4 to 5 years,0.4 to 1.9 ounces,4.7 to 7 inches,1 year,10 to 12 days,3-6,"Owls, hawks, cats",Sparrow,3 inches,,,,,,,,,,,,,,,,1,0,0
Sparrow,"['Africa', 'Asia', 'Central-America', 'Eurasia', 'Europe', 'North-America', 'Oceania', 'South-America']",Animalia,Chordata,Aves,Passeriformes,Passeridae,,,,,,1.6 billion,,,,,Countryside and woodland,Omnivore,,Flock,,,,There are 140 different species!,,BrownGreyYellowBlueBlackWhiteTan,Feathers,25 mph,4 - 7 years,13.4g - 42g (0.5oz - 1.5oz),,,,,"Cats, Snakes, Hawks",Bird,11.4cm - 18cm (4.5in - 7in),Small body size and rounded head,,,8.3 inches,10 to 14 days,,4.0,"Insects, Seeds, Berries",,,On or around buildings,82 days,,,,1,0,0
Sparrowhawk,"['Africa', 'Asia', 'Europe', 'Oceania']",Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Accipiter,Accipiter nisus,"Birds, insects, rodents, and other mammals",,,Several million,Habitat loss,The barred plumage on the breast,Sparhawks,,Forests and woodlands,Carnivore,,,Sparrowhawk,20.0,"Europe, Asia, Africa, and Oceania",,,BrownBlackWhiteOrange,,50 mph,10-20 years,Up to 1kg (2.5lbs),,,,,"Eagles, owls, falcons, goshawks, red foxes, and martens",Bird,Up to 50cm (20in),,,,Up to 101cm (40in),A month,,,,,,Tall trees,1-2 months,,,1.0,0,1,0
Spixs Macaw,['Extinct in the Wild'],Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Cyanopsitta,Cyanopsitta spixii,,,Flocks,At least 160,Habitat Loss,Luxurious Blue Plumage,,,Desert Woodlands,Omnivore,,Diurnal,Spix's Macaw,,Brazil,One of earth's rarest animals!,Birds,,Feathers,,20 to 40 years,360g (12.7oz),56cm (22in),,,,"Rats, feral cats, mongooses, and monkeys",,,,,,,26 days,,,,,,,,,,,1,0,0
Swan,"['Africa', 'Asia', 'Central-America', 'Eurasia', 'Europe', 'North-America', 'Oceania', 'South-America']",Animalia,Chordata,Aves,Anseriformes,Anatidae,Cygnus,Cygnus atratus,,,,,,,,,"Large, shallow wetlands and open water",Omnivore,,Flock,,,,Populations have been affected by pollution!,,GreyBlackWhiteOrange,Feathers,50 mph,8 - 12 years,10kg - 15kg (22lbs - 33lbs),91cm - 150cm (36in - 60in),,,,"Human, Wolf, Raccoon",Bird,,"Large, powerful wings and webbed feet",,,200cm - 350cm (79in - 138in),,,5.0,"Aquatic Plants, Insects, Small Fish",,,,,Aquatic Plants,,,1,0,0
Tawny Owl,"['Asia', 'Eurasia', 'Europe']",Animalia,Chordata,Aves,Strigiformes,Strigidae,Strix,Strix aluco,,,,,,,,,Dense forest and open woodland,Omnivore,,Solitary,,,,The most widespread owl in Europe!,,BrownGreyBlackWhiteTan,Feathers,50 mph,4 - 6 years,350g - 650g (12oz - 23oz),,,,,"Hawks, Eagles, Buzzards",Bird,38cm - 43cm (15in - 17in),Large eyes and fantastic hearing,,,81cm - 105cm (32in - 41in),,,3.0,"Mice, Vole, Insects",,,,,Mice,,,0,1,0
Toucan,"['Central-America', 'South-America']",Animalia,Chordata,Aves,Piciformes,Ramphastidae,Ramphastos,,,,,,,,,,Lowland rainforest and tropical forest borders,Omnivore,,Solitary,,,,There are more than 40 different species!,,YellowBlackWhiteOrange,Feathers,39 mph,12 - 20 years,130g - 680g (4.6oz - 24oz),,,,,"Human, Weasels, Large Birds",Bird,29cm - 63cm (11.5in - 29in),Small body and enormous colourful beak,,,43-60 inches,17-18 days,,3.0,"Fruit, Eggs, Insects",,,Hollows of trees,1 year,Fruit,,,1,0,0
