name,locations,taxonomy_kingdom,taxonomy_phylum,taxonomy_class,taxonomy_order,taxonomy_family,taxonomy_genus,taxonomy_scientific_name,characteristics_prey,characteristics_name_of_young,characteristics_group_behavior,characteristics_estimated_population_size,characteristics_biggest_threat,characteristics_most_distinctive_feature,characteristics_other_name(s),characteristics_gestation_period,characteristics_habitat,characteristics_diet,characteristics_average_litter_size,characteristics_lifestyle,characteristics_common_name,characteristics_number_of_species,characteristics_location,characteristics_slogan,characteristics_group,characteristics_color,characteristics_skin_type,characteristics_top_speed,characteristics_lifespan,characteristics_weight,characteristics_length,characteristics_age_of_sexual_maturity,characteristics_age_of_weaning,characteristics_litter_size,characteristics_predators,characteristics_type,characteristics_height,characteristics_distinctive_feature,characteristics_temperament,characteristics_training,characteristics_wingspan,characteristics_incubation_period,characteristics_age_of_fledgling,characteristics_average_clutch_size,characteristics_main_prey,characteristics_water_type,characteristics_age_of_independence,characteristics_nesting_location,characteristics_age_of_molting,characteristics_favorite_food,characteristics_origin,characteristics_migratory,domesticos,protegidos,exoticos
Ruddy Turnstone,"['Africa', 'Europe', 'North-America', 'South-America']",Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Arenaria,Arenaria interpres,"Insects, crustaceans, seeds, fish",,,"300,000-500,000",Disease,"Brown, orange, black feathers",Turnstone,,"Coastlines, wetlands, grasslands",Omnivore,,,Turnstone,2.0,Worldwide,,,BrownBlackWhite,,, 9-19 years,3 oz -5.3 oz,8-9 inches,,,2-5,"American mink, Arctic fox, red fox, rats",Bird,,,,,20-22 inches,22-24 days,,,,,,Rocky ground,,,,1.0,0,1,0
Yellow-Eyed Penguin,"['Ocean', 'Oceania']",Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Megadyptes,Megadyptes antipodes,,,,,,,,,Rocky Antarctic Islands,Carnivore,2,Colony,,,,The rarest species of penguin!,,BrownGreyYellowBlackWhite,Feathers,,10 - 20 years,5kg - 8kg (11lbs - 18lbs),,,,,"Leopard Seal, Killer Whale, Sharks",Bird,60cm - 75cm (24in - 30in),Bright yellow head-band and pink coloured feet,,,,,,,"Krill, Fish, Shrimp",,,,,Krill,,,1,0,0
Emperor Penguin,"['Antarctica', 'Ocean']",Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Aptenodytes,Aptenodytes forsteri,"Fish, Krill, Squid",Chick,Colony,"200,000 breeding pairs",Global warming,Bright yellow feathers on neck and ears,,,Compact sea-ice and ocean,Carnivore,,Diurnal,Emperor Penguin,1.0,Antarctica,The world's largest species of penguin!,Bird,YellowBlackWhiteOrange,Feathers,15 mph,15 - 50 years,22kg - 45kg (49lbs - 99lbs),,3 - 8 years,,,"Southern Giant Petrol, Leopard Seal, Killer Whale",,100cm - 120cm (39in - 47in),,,,76cm - 89cm (30in - 35in),60 - 70 days,5 - 6 months,1.0,,,,,,,,,1,0,0
Emu,['Oceania'],Animalia,Chordata,Aves,Casuariiformes,Casuariidae,Dromaius,Dromaius novaehollandiae,,,,,,,,,Open grasslands with bushes close to water,Omnivore,,Flock,,,,The largest bird in Australia!,,BrownGreyBlack,Feathers,25 mph,12 - 20 years,18kg - 60kg (40lbs - 132lbs),,,,,"Human, Wild dogs, Birds of prey",Bird,1.5m - 1.9m (4.9ft - 6.2ft),Enormous body size and large eyes,,,,,,11.0,"Fruit, Seeds, Insects, Flowers",,,,,Fruit,,,1,0,0
Gentoo Penguin,"['Antarctica', 'Ocean']",Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Pygoscelis,Pygoscelis papua,,,,,,,,,Rocky Antarctic Islands,Carnivore,2,Colony,,,,Found throughout the sub-Antarctic!,,GreyBlackWhiteOrange,Feathers,,15 - 20 years,4kg - 8kg (8.8lbs - 18lbs),,,,,"Leopard Seal, Killer Whale, Sharks",Bird,51cm - 90cm (20in - 36in),Small head with orange beak and feet,,,,,,,"Krill, Fish, Shrimp",,,,,Krill,,,1,0,0
Goose,"['Asia', 'Eurasia', 'Europe', 'North-America', 'Ocean']",Animalia,Chordata,Aves,Anseriformes,Anatidae,,,,,,,,,,,"Large ponds, rivers and lake shores",Omnivore,,Flock,,,,There are 29 different species!,,BrownGreyBlackWhite,Feathers,55 mph,12 - 26 years,1.5kg - 8kg (3.3lbs - 17lbs),60cm - 120cm (23.6in - 50in),,,,,Bird,,Long neck and noisy communication calls,,,4.2 to 6.1 feet,1 month,,5.0,"Grass, Seeds, Berries",,,Ground,A few months,Grass,,1.0,1,0,0
Griffon Vulture,"['Africa', 'Asia', 'Eurasia', 'Europe']",Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Gyps,Gyps fulvus,"Sheep, cows, other mammals",,,"80,000-900,000",Poisoning of livestock,Finger-shaped feathers,Eurasian griffon,,"Mountains, shrublands, cliffs",Carnivore,,,Griffon vulture,3.0,"Africa, Asia, Europe",,,BrownWhite,Feathers,46 mph,Up to 37 years,13lbs - 24lbs,37in – 48 in,,,1,Humans,Bird,,,,,8-9 feet,55 days,,1.0,,,,Cliff areas,3.5 months,,,1.0,0,1,0
Grouse,['Europe'],Animalia,Chordata,Aves,Galliformes,Phasianidae,Tetraoninae,Tetraoninae,,,,,,,,,"Forest, shrubland and grassy plains",Omnivore,,Flock,,,,Feathered legs and toes!,,BrownYellowRedBlueBlackWhiteGreen,Feathers,6 mph,1 - 10 years,0.3kg - 6.5kg (0.6lbs - 14lbs),31cm - 95cm (12in - 37in),,,,"Fox, Lynx, Birds Of Prey",Bird,,Long tail feathers and feathered legs and toes,,,45cm - 101cm (22in - 40in),,,8.0,"Insects, Nuts, Seeds, Berries",,,,,Insects,,,1,0,0
Heron,"['Africa', 'Asia', 'Central-America', 'Eurasia', 'Europe', 'North-America', 'Oceania', 'South-America']",Animalia,Chordata,Aves,Ciconiiformes,Ardeidae,,,,,,,,,,,Wetland regions,Carnivore,,Solitary,,,,Inhabits wetlands around the world!,,BrownGreyBlackWhite,Feathers,40 mph,15 - 20 years,1.5kg - 3kg (3.3lbs - 6.6lbs),,,,,"Fox, Mink, Raccoon",Bird,85cm - 140cm (34in - 55in),Long thin legs and pointed beak,,,Up to 91in,A month,,,"Fish, Insects, Molluscs",,,"Bushes, cliffs, or trees",2-3 months,Fish,,1.0,1,0,0
Hoopoe,"['Africa', 'Asia', 'Europe']",Animalia,Chordata,Aves,Bucerotiformes,Upupidae,Upupa,,,Chicks or hatchlings,Largely solitary,5-10 million,,Crest of feathers on the head,,,"Forests, plains, and savannas",Omnivore,,,Hoopoe,,"Europa, Asia, and Africa",Stunning bird with a stinky way to deter predators!,Birds,,Feathers,,Around 10 years in the wild,46g – 89g (1.6oz – 3.1oz),25cm - 32cm (10in – 12.6in),A few months,,,,,,,,,44cm – 48cm (17in - 19in),,,,,,,,,"Ants, grasshoppers, beetles, crickets, and other insects",,,1,0,0
House wren,"['Central-America', 'North-America', 'South-America']",Animalia,Chordata,Aves,Passeriformes,Troglodytidae,Troglodytes,Troglodytes aedon,Insects,,,160 million,climate change,Its song,"O-du-na-mis-sug-ud-da-we-shi, which is Chippewa for “Big noise for its size.”",,"Woods, backyards, savannas, farms",Carnivore,,,House wren,33.0,Much of the Western Hemisphere,,,Brown,Feathers,21 mph,Seven years,0.35 and 0.42 ounce,4.3 to 5.1 inches,,,Four to eight babies,"Cats, rats, opossums, birds of prey, raccoons, squirrels, snakes, woodpeckers",Bird,,,,,5.9 inches,12 to 14 days,,,,,,"Tree cavities, nest boxes, shoes, hats, cans, gourds, holes in walls, scarecrows",15 to 17 days,,,1.0,1,0,0
Junglefowl,['Asia'],Animalia,Chordata,Aves,Galliformes,Phasianidae,Gallus,,"worms, slugs, insects, mice, small lizards, and frogs",,,Unknown,Crossbreeding with domestic chickens,"Bright colors, red crest in males","Wild chicken, bankiva, bankiva fowl",,"Field edges, forests, scrubland, mountains, islands",Omnivore,,,Junglefowl,4.0,"South Asia, Southeast Asia",,,BrownYellowRedBlueBlackWhiteGoldPurple,Feathers,,"3-14 years in the wild, 10-30 years in captivity",24-51oz; female 17-40oz,"Male 26-30in, female 14-18in",,,,"Birds of prey, land-dwelling carnivorous animals","Phasanid, bird",,,,,"Male 26-32in, female 14-25in",18-26 days,,,,,,Underbrush,1 year,,,,1,0,0
Kestrel,"['Africa', 'Asia', 'Europe', 'North-America', 'South-America']",Animalia,Chordata,Aves,Falconiformes,Falconidae,Falco,Falco sparverius,"Small rodents, lizards, insects, birds, and eggs",,,9.2 million,Starvation,Hunting behavior of hovering and diving,"Grasshopper hawk, killy hawk, short-winged hawk, windhover, house hawk, and rusty-crowned falcon",,Open countryside,Carnivore,3-7,,Sparrowhawk,15.0,"North America, most of South America, Europe, Asia, Africa",,,BrownBlack,,39 mph,"5 years in the wild, 17 years in captivity",2.8-6.5oz,8.7-15in,,,,"Larger birds of prey, snakes, fire ants, and cats",Bird,Unknown,,,,20-31in,30 days,,,,,,"Natural cavities, other birds' nests, nesting boxes",The next spring (adults molt in the fall),,,1.0,1,0,0
King Penguin,"['Antarctica', 'Ocean']",Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Aptenodytes,Aptenodytes patagonicus,,,,,,,,,Rocky Antarctic Islands,Carnivore,1,Colony,,,,More than 2 million breeding pairs!,,GreyYellowBlackWhite,Feathers,,15 - 20 years,11kg - 16kg (24lbs - 35lbs),,,,,"Leopard Seal, Killer Whale, Sharks",Bird,60cm - 90cm (24in - 35in),Large body size with yellow markings on head,,,,,,,"Krill, Fish, Shrimp",,,,,Krill,,,1,0,0
King Vulture,"['Central-America', 'North-America', 'South-America']",Animalia,Chordata,Aves,Accipitriformes,Cathartidae,Sarcoramphus,Sarcoramphus papa,,,,"10,000",Habitat loss,,,,"Forests, savannas, and grasslands",Omnivore,,,King Vulture,1.0,Central and South America,,,GreyYellowRedBlackWhiteOrange,Feathers,,,,,,,,Cats and snakes,Bird,,,,,1.8-2m (70-78in),50-60 days,,1.0,,,,Hollow tree cavities,4-18 months,,,,1,0,0
Kingfisher,"['Africa', 'Asia', 'Central-America', 'Eurasia', 'Europe', 'North-America', 'Ocean', 'South-America']",Animalia,Chordata,Aves,Coraciiformes,Alcedines,,,,,,,,,,,Lowland freshwater areas and river estuaries,Omnivore,,Solitary,,,,Inhabits wetlands and woodlands worldwide!,,BrownYellowRedBlueBlackGreenOrange,Feathers,25 mph,6 - 10 years,10g - 170g (0.4oz - 6oz),,,,,"Foxes, Snakes, Raccoons",Bird,10cm - 37.5cm (4in - 15in),"Small body and long, sharp and straight beaks",,,Up to 2 feet,2 to 4 weeks,,4.0,"Fish, Shrimp, Insects, Tadpoles",,,Burrows,3 to 8 weeks,Fish,,1.0,1,0,0
Little Penguin,"['Ocean', 'Oceania']",Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptula,Eudyptula Minor,,,,,,,,,Rocky Antarctic Islands,Carnivore,2,Colony,,,,The smallest species of penguin!,,GreyBlueBlackWhite,Feathers,,10 - 20 years,1kg - 3kg (2.2lbs - 6.6lbs),,,,,"Leopard Seal, Killer Whale, Sharks",Bird,35cm - 50cm (14in - 20in),Small body size with blue/grey feathers,,,,,,,"Krill, Fish, Shrimp",,,,,Krill,,,1,0,0
Lorikeet,"['Asia', 'Oceania']",Animalia,Chordata,Aves,Psittaciformes,Psittaculidae,,,"Flowers, fruit, nectar, pollen, and insects",,,Unknown,"Deforestation, hunting, and poaching",The brightly-colored rainbow-like plumage,,,Forests and groves,Omnivore,,,Lorikeet,,Australia and Southeast Asia,,,RedBlueBlackGreenPurple,Feathers,,,20-280g,5-13 inches,,,,Snakes and birds of prey,Bird,,,,,About 15-24in,25 days,,2.0,,,,Hollowed trees,7-8 weeks,,,,1,0,0
Mississippi Kite,['North-America'],Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Ictinia,Ictinia mississippiensis,"Insects, rodents, snakes, birds, bats, frogs, and turtles",,,"300,000","Habitat loss, poisoning, and hunting",The red eyes,"Mosquito hawk, blue snake-hawk, and hovering kite",,"Hardwood forests, prairies, and urban environments",Carnivore,,,Mississippi Kite,1.0,"United States, Central and South America",,,GreyYellowBlackWhite,Feathers,,8 years,198-397g (7-14oz),,,,,"Raccoons, snakes, crows, owls, and other birds of prey",Bird,33-38cm (13-15in),,,,3 feet,29-32 days,,,,,,Trees,25-30 days,,,1.0,1,0,0
Moorhen,"['Africa', 'Asia', 'Central-America', 'Eurasia', 'Europe', 'North-America', 'Oceania', 'South-America']",Animalia,Chordata,Aves,Gruiformes,Rallidae,Gallinula,Gallinula,,,,,,,,,"Marshes, wetlands and ponds",Omnivore,,Flock,,,,Feeds on aquatic insects and water-spiders!,,BrownBlackWhite,Feathers,22 mph,1 - 3 years,70g - 400g (2.5oz - 14oz),25cm - 38cm (10in - 15in),,,,"Foxes, Dogs, Raccoons",Bird,,Small rounded head and pointed beak,,,50cm - 80cm (20in - 31in),,,7.0,"Insects, Rodents, Berries",,,,,Insects,,,1,0,0
Penguin,"['Antarctica', 'Ocean']",Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,,Aptenodytes Forsteri,,,,,,,,,Cold seas and rocky land,Omnivore,,Group,,,,Spends 75% of it's time hunting for food!,,GreyYellowBlackWhite,Feathers,40 mph,20 - 30 years,1kg - 35kg (2.2lbs - 75lbs),,,,,"Leopard Seals, Sharks, Killer Whale",Bird,40cm - 110cm (15.7in - 43in),"Short, sharp beak and slight webbed feet",,,60cm - 130cm (23.6in - 21in),,,1.0,"Fish, Crabs, Squid",,,,,Fish,,,1,0,0
Pigeon,"['Africa', 'Asia', 'Central-America', 'Eurasia', 'Europe', 'North-America', 'Oceania', 'South-America']",Animalia,Chordata,Aves,Columbiformes,Columbidae,,,"Grain, seeds, berries, fruits, and occasionally insects, snails, earthworms.",,,400 million worldwide,Inference from humans either in the form of pest control or urbanization,White rump and metallic purple/ green iridescence on males,"common pigeon, rock dove",,"Often found in towns and cities, as well as farmlands, fields, and rocky cliffs",Omnivore,,,"Pigeon, dove",250.0,All continents except Antarctica,,,BrownGreyWhite,Feathers,95 mph,6 years,9.3-13.4 oz,11.8-14.2 inches,,,,,Bird,25-35 centimeters,,,,19.7-26.4 inches,14-19 days,,,,,,Buildings or rocky cliffs,12-19 days,,,,1,0,0
Rooster,"['Africa', 'Asia', 'Central-America', 'Eurasia', 'Europe', 'North-America', 'Oceania', 'South-America']",Animalia,Chordata,Aves,Galliformes,Phaisianidae,Gallus,Gallus domesticus,Insects,Chick,Sociable,23 billion,"Humans, predators",Bushy tailfeathers,"Cock, cockerel, capon",21 days,Farms,Omnivore,,,Rooster,1.0,Worldwide,,Flock,BrownRedBlueBlackWhiteGreen,Feathers,9 mph,8 to 15 years,,10 to 16 inches,16 to 26 weeks,2 months,2 to 4,"Foxes, coyotes, raccoons",Bird,2 to 3 feet tall,,,,,,,,,,,,,,,,1,0,0
Turkey,"['Central-America', 'North-America']",Animalia,Chordata,Aves,Galliformes,Phasianidae,Meleagris,Meleagris,,,,,,,,,"Forest, shrubland and grassy plains",Omnivore,,Flock,,,,Closely related to pheasants and chickens!,,BrownYellowRedBlueBlackWhiteGreen,Feathers,6 mph,1-10 years,3-11kg (6.6-24lbs),,,,,"Fox, Snake, Raccoon",Bird,,,,,4.1-4.7 feet,25-31 days,,,"Insects, Nuts, Seeds, Berries",,,Wooded areas on the ground,20 weeks,Insects,,,1,0,0
Vulture,"['Africa', 'Asia', 'Central-America', 'Eurasia', 'Europe', 'North-America', 'South-America']",Animalia,Chordata,Aves,Cathartiformes,Cathartidae,Cathartes,Cathartes aura,,,,,,,,,"Deserts, savannah and grassland near water",Carnivore,,Solitary,,,,There are 30 different species worldwide!,,BrownGreyBlackWhiteTan,Feathers,30 mph,20 - 30 years,0.85kg - 2.2kg (1.9lbs - 5lbs),,,,,"Hawks, Snakes, Wild cats",Bird,64cm - 81cm (25in - 32in),"Large wings and sharp, curved beak",,,130cm - 183cm (51in - 72in),,,2.0,"Rats, Small and large animal carcasses",,,,,Rats,,,1,0,0
Puffin,"['Eurasia', 'Europe', 'North-America', 'Ocean']",Animalia,Chordata,Aves,Charadriiformes,Alcidae,Fratercula,Fratercula arctica,"Sandeel, Herring, Sprat",Chick,Colony,Decreasing,Hunting and Pollution,"Brightly coloured, triangular bill","Atlantic Puffin, Tufted Puffin, Horned Puffin, Rhinoceros Auklet",,Sea and coastal regions,Carnivore,,Diurnal,Puffin,4.0,Northern Hemisphere,Can remain in the water for up to 2 minutes!,Bird,GreyBlackWhite,Feathers,55 mph,15 - 30 years,368.5g - 481.9g (13oz - 17oz),,4 - 5 years,,,"Gulls, Skuas, Foxes",,28cm - 32cm (11in - 12.6in),,,,47cm - 63cm (18.5in - 24.8in),45 days,2 months,1.0,,,,,,,,,0,1,0
Song Thrush,"['Africa', 'Asia', 'Europe']",Animalia,Chordata,Aves,Passeriformes,Turdidae,Turdus,Turdus philomelos,"Insects and their larvae, snails, earthworms, slugs",,,75 million to about 120 million birds.,Habitat disruption,its song,"Throstle, mavis",,"Woods, temperate forests, scrub, shrublands, mountains, farms, gardens, parks",Omnivore,,,song thrush,1.0,"Europe, North Africa, Middle East, New Zealand, Australia",,,BrownYellowCream,,35 mph,three to ten years,"1.76 to 3.77 ounces, females a bit heavier",7.87 to 9.45 inches,,,four to five,"Birds of prey, cats, dogs, humans",bird,,,,,13.38 inches,10-17 days,,4.0,,,,"In a tree, in shrubs or creepers, on the ground",two weeks,,,1.0,1,0,0
Uguisu,['Asia'],Animalia,Chordata,Aves,Passeriformes,Cettiidae,Cettia,Cettia diphone,"Insects, Worms, Berries",Chick,Solitary,Stable,Habitat loss,Has light-coloured lines above the eyes,"Japanese Bush-Warbler, Singing Bush-warbler, Oriental Bush-warbler",,lowlands and mountain forests,Omnivore,,Diurnal,Uguisu,1.0,"Japan, China, Korea",Their guano is used in face creams!,Bird,BrownGreenOlive,Feathers,18 mph,2 - 5 years,15g - 22g (0.5oz - 0.7oz),14cm - 16.5cm (5.5in - 6.5in),10 - 12 months,,,"Cats, Snakes, Birds Of Prey",,,,,,20cm - 22cm (7.9in - 9in),2 - 3 weeks,12 - 15 days,3.0,,,,,,,,,1,0,0
Thrush,"['Africa', 'Asia', 'Central-America', 'Eurasia', 'Europe', 'North-America', 'Oceania', 'South-America']",Animalia,Chordata,Aves,Passeriformes,Turdidae,,,"Insects, worms, snails, spiders",,,Millions,"Habitat destruction, predators",Their songs,"Storm cock, robin redbreast",,"Woodlands, forests, backyards, parks",Omnivore,,,Thrush,,Around the world,,,BrownGreyYellowRedBlue,Feathers,36 mph,2 to 12 years,0.74 to 6.2 ounces,4.7 inches to 13 inches,,,2-5,"Raccoons, crows, jays, snakes, cats, squirrels, birds of prey",Bird,,,,,8.5 to 20.9 inches,About 12 to 14 days,,,,,,"In trees, with the exception of bluebirds, who nest in cavities or nest boxes and hermit thrushes, who often nest on the ground",10 to 15 days,,,1.0,1,0,0
Kiwi,['Oceania'],Animalia,Chordata,Aves,Struthioniformes,Apterygidae,Apteryx,,,,,,,,,,Forests and dense woodland,Omnivore,,Solitary,,,,Only found in the forests of New Zealand!,,BrownGreyWhite,Feathers,12 mph,8 - 12 years,1.3kg - 3.3kg (2.6lbs - 7.3lbs),,,,,"Foxes, Dogs, Cats",Bird,25cm - 45cm (9.8in - 17in),"Round body and long, sharp and straight beaks",,,An inch per wing,75 to 85 days,,2.0,"Worms, Spiders, Insects, Fruit",,,Burrows in the ground,Shortly after birth,Worms,,,1,0,0
Stork,"['Africa', 'Asia', 'Central-America', 'Eurasia', 'Europe', 'North-America', 'Oceania', 'South-America']",Animalia,Chordata,Aves,Ciconiiformes,Ciconiidae,,,"Insects, amphibians, small mammals, bird eggs, fish, crustaceans.",,,"700,000+",Agricultural changes and industrialization by humans.,"long legs, long neck, and long bill",,,"Open grasslands, light woodlands, marshes, wet meadows, rivers, ponds.",Carnivore,,,Stork,19.0,"Australia, North America, Africa, Europe, Asia, South America",,,RedBlackWhite,Feathers,16 mph,"22 years in wild, 35 years in captivity",6.2 to 7.3 lbs.,39-45 inches,,,1-7 eggs,"American alligators, though eggs are attacked by small mammals.",Bird,39-49 inches,,,,Up to 10.5+ feet,33-34 days,,1.0,,,,"Cliff sides, trees, and on tops of homes",11 months,,,1.0,1,0,0
Owl,"['Africa', 'Asia', 'Central-America', 'Eurasia', 'Europe', 'North-America', 'Oceania', 'South-America']",Animalia,Chordata,Aves,Strigiformes,,,,"Insects, rodents, rabbits, hares, and fish",Hatchlings,GroupFamily units,Unknown,Habitat loss,The massive front-facing eyes,Hooters,1-2 months,"Grasslands, forests, swamps, and others",Carnivore,,,Owl,,Worldwide,,,BrownGreyBlackWhite,Feathers,40 mph,Up to 25 years,Up to 4kg (9lbs),25-182cm (10-72in),1-2 years,,Up to 12 eggs,"Birds of prey, cats, and humans",Bird,13-71cm (5-28in),,,,,,,,,,,,,,,,1,0,0
Snowy Owl,"['Eurasia', 'Europe', 'North-America', 'Ocean']",Animalia,Chordata,Aves,Strigiformes,Strigidae,Bubo,Bubo scandiacus,,,,,,,,,Woodland within the Arctic tundra,Carnivore,,Solitary,,,,One of the largest owl species in the world!,,GreyBlackWhite,Feathers,50 mph,10 - 17 years,1.1kg - 2kg (2.4lbs - 4.4lbs),,,,,"Human, Foxes, Wild dogs",Bird,60cm - 75cm (24in - 30in),Black and white markings and large head,,,130cm - 164cm (51in - 65in),,,7.0,"Lemmings, Voles, Fish",,,,,Lemmings,,,1,0,0
Potoo,"['Central-America', 'South-America']",Animalia,Chordata,Aves,Nyctibiiformes,Nyctibiidae,Nyctibius,"Nyctibius bracteatus, Nyctibius grandis, Nyctibius aethereus, Nyctibius leucopterus, Nyctibius maculosus, Nyctibius griseus, Nyctibius jamaicensis","Large insects, a bat or small bird occasionally",,,"Possibly in the millions, though the population trend of the common potoo is decreasing. The conservation status of the seven species of potoos is least concern.",habitat destruction,Its eyes,"Poor-me-ones, urutau",,Rainforest and forest edges,Carnivore,1,,Potoo,7.0,"South and Central America, Mexico, Hispaniola",,,BrownGreyRedBlackWhite,,,10 years,12.69 to 22.91 ounces,8.3 to 22.8 inches,,,1,"Monkeys, tayras, birds of prey",Bird,,,,,27.6 to 31.7 inches,one month,,,,,,On a hollow in a tree limb,25 to 55 days,,,1.0,1,0,0
