name,locations,taxonomy_kingdom,taxonomy_phylum,taxonomy_class,taxonomy_order,taxonomy_family,taxonomy_genus,taxonomy_scientific_name,characteristics_prey,characteristics_name_of_young,characteristics_group_behavior,characteristics_estimated_population_size,characteristics_biggest_threat,characteristics_most_distinctive_feature,characteristics_other_name(s),characteristics_gestation_period,characteristics_habitat,characteristics_diet,characteristics_average_litter_size,characteristics_lifestyle,characteristics_common_name,characteristics_number_of_species,characteristics_location,characteristics_slogan,characteristics_group,characteristics_color,characteristics_skin_type,characteristics_top_speed,characteristics_lifespan,characteristics_weight,characteristics_length,characteristics_age_of_sexual_maturity,characteristics_age_of_weaning,characteristics_litter_size,characteristics_predators,characteristics_type,characteristics_height,characteristics_distinctive_feature,characteristics_temperament,characteristics_training,characteristics_wingspan,characteristics_incubation_period,characteristics_age_of_fledgling,characteristics_average_clutch_size,characteristics_venomous,characteristics_aggression,characteristics_main_prey,characteristics_water_type,characteristics_age_of_independence,characteristics_average_spawn_size,characteristics_nesting_location,characteristics_age_of_molting,characteristics_favorite_food,characteristics_origin,characteristics_migratory,characteristics_optimum_ph_level,characteristics_special_features
African Civet,['Africa'],Animalia,Chordata,Mammalia,Carnivora,Viverridae,Civettictis,Civettictis civetta,"Rodents, Snakes, Frogs",Pup,Solitary,Abundant,Habitat loss,Black band around their eyes,,60 - 70 days,Tropical rainforest,Omnivore,3,Nocturnal,African Civet,1.0,across sub-Saharan Africa,Secretes up to 4g of musk every week!,Mammal,BrownGreyYellowBlackWhiteTan,Fur,,15 - 20 years,1.4kg - 4.5kg (3lbs - 10lbs),,11 - 12 months,8 - 10 weeks,,"Lions, Snakes, Leopards",,43cm - 71cm (17in - 28in),,,,,,,,,,,,,,,,,,,,
African Clawed Frog,['Africa'],Animalia,Chordata,Amphibia,Anura,Pipidae,Xenopus,Xenopus laevis,"Small Fish, Insects, Spiders",Tadpole,Solitary,Abundant,Water pollution,Clawed front toes,Platanna,,Warm stagnant water with grassland,Carnivore,,Nocturnal,African Clawed Frog,1.0,eastern and southern Africa,A particularly ferocious amphibian!,Amphibian,BrownGreyAlbino,Permeable Scales,5 mph,8 - 15 years,25g - 220g (1oz - 8oz),2.5cm - 12cm (1in - 5in),10 - 12 months,,,"Snakes, Birds, Small Mammals",,,,,,,4 - 5 days,,,,,,Fresh,5 days,"2,000",,,,,,,
African Forest Elephant,['Africa'],Animalia,Chordata,Mammalia,Proboscidea,Elephantidae,Loxodonta,Loxodonta cyclotis,"Grass, Fruit, Roots",Calf,Herd,"200,000",Poaching and habitat loss,"Rounded ears and thin, straight tusks",African Elephant,22 - 24 months,"Forest, savannah and flood plains",Herbivore,1,Diurnal,African Forest Elephant,1.0,central and southern Africa,Have large rounded ears to help keep them cool!,Mammal,BrownGrey,Leather,24 mph,60 - 70 years,"900kg - 3,000kg (1,984lbs - 6,613lbs)",,11 - 20 years,5 years,,"Human, Lion, Hyena",,2m - 3m (6.6ft - 9.8ft),,,,,,,,,,,,,,,,,,,,
African Grey Parrot,['Africa'],Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Psittacus,Psittacus erithacus,,,,"630,00 to 13 million","Habitat destruction, pet trade, pesticides, hunting",,"Congo grey parrot, grey parrot, Congo African grey parrot",,"Lowland forests, mangroves, savannas, gardens",Herbivore,,,African grey parrot,1.0,Central and West Africa,,,GreyRed,,42 mph,"23 years in the wild, up to 60 years in captivity",14.75 to 18.5 ounces,13 inches,,,three to five,"Birds of prey, monkeys, terrestrial predators",bird,,,,,18 to 20.5 inches,30 days,,4.0,,,,,,,Tree cavity,12 weeks,,,,,
African Palm Civet,['Africa'],Animalia,Chordata,Mammalia,Carnivora,Nandiniidae,Nandinia,Nandinia binotata,"Rodents, Snakes, Frogs",Pup,Solitary,Locally abundant,Habitat loss,"Snout with sharp, pointed teeth",Two-Spotted Palm Civet,64 days,Tropical rainforest,Omnivore,2,Crepuscular,African Palm Civet,1.0,eastern Africa,Solitary but gathers in groups!,Mammal,BrownGreyYellowBlackWhiteTan,Fur,,15 - 20 years,1.4kg - 4.5kg (3lbs - 10lbs),,2 - 3 years,2 months,,"Lions, Snakes, Leopards",,43cm - 71cm (17in - 28in),,,,,,,,,,,,,,,,,,,,
African Penguin,"['Africa', 'Ocean']",Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Spheniscus,Spheniscus demersus,"Fish, Squid, Crustaceans",Chick,Colony,"140,000",Habitat disruption,Pink glands above their eyes,Jackass Penguin,,Rocky Ocean Islands,Carnivore,,Diurnal,African Penguin,1.0,south-west African coast,The only penguin species in Africa!,Bird,GreyBlackWhite,Feathers,12.4 mph,10 - 15 years,2kg - 5kg (4.4lbs - 11lbs),,3 - 4 years,,,"Sharks, Fur Seals, Gulls",,60cm - 68cm (24in - 27in),,,,,40 days,3 - 5 months,2.0,,,,Salt,,,,,,,,,
African Tree Toad,['Africa'],Animalia,Chordata,Amphibia,Anura,Bufonidae,Nectophryne,Nectophryne afra,"Insects, Worms, Snails",,,,,,,,Tropical lowland forest,Carnivore,,Solitary,,,Central Africa,Found in tropical moist lowland forests!,,BrownBlackWhiteTan,Permeable,5 mph,3 - 5 years,2g - 5g (0.07oz - 0.18oz),2.5cm - 3.8cm (1in - 1.5in),,,,"Fish, Toads, Birds",Amphibian,,Small body size and webbed feet,,,,,,,,,,,,100,,,,,,,
African Wild Dog,['Africa'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Lycaon,Lycaon pictus,"Antelope, Warthog, Rodents",Pup,Pack,"Less than 5,000",Habitat loss,Four toes on each foot rather than five,"Hunting Dog, Painted Dog, Painted Wolf",70 days,Open plains and savanna,Carnivore,8,Crepuscular,African Wild Dog,1.0,sub-Saharan Africa,Also known as the painted dog!,Mammal,BrownGreyRedBlackWhiteGoldTan,Fur,45 mph,10 - 13 years,17kg - 36kg (39lbs - 79lbs),75cm - 110cm (29in - 43in),12 - 18 months,3 months,,"Lions, Hyenas, Humans",,,,,,,,,,,,,,,,,,,,,,
Agama Lizard,['Africa'],Animalia,Chordata,Reptilia,Squamata,Agamidae,Agama,,"Insects, reptiles, small mammals.",Hatchlings,Group,Unknown,Habitat loss,The bright blue or red colors of the dominant male.,Dragon lizards,8-10 weeks,"Forests, deserts, plains, and urban areas",Omnivore,,,Agama,,Sub-Saharan Africa,,,BrownBlueBlackWhiteGreen,Scales,,Up to 25 years,About 1kg (2lbs),12-30cm (5-12in),1-2 years,,5-7 eggs,"Snakes, birds, and small mammals",Lizards,,,,,,,,,,,,,,,,,"Insects, reptiles, small mammals, flowers, grasses, and fruits",,,,
Aidi,['Africa'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,Puppy,,,,,"Atlas Mountain Dog, Atlas Shepherd Dog, Berber Dog, Chien de l'Atlas, and Chien de montagne de l'Atlas",,,Omnivore,,,Aidi,,,,,RedBlackWhiteTawny,Hair,,12-15 years,,,,,5-8 puppies,,Mammal,,,protective and playful,,,,,,,,,,,,,,,Morocco,,,
