name,locations,taxonomy_kingdom,taxonomy_phylum,taxonomy_class,taxonomy_order,taxonomy_family,taxonomy_genus,taxonomy_scientific_name,characteristics_prey,characteristics_name_of_young,characteristics_group_behavior,characteristics_estimated_population_size,characteristics_biggest_threat,characteristics_most_distinctive_feature,characteristics_other_name(s),characteristics_gestation_period,characteristics_habitat,characteristics_diet,characteristics_average_litter_size,characteristics_lifestyle,characteristics_common_name,characteristics_number_of_species,characteristics_location,characteristics_slogan,characteristics_group,characteristics_color,characteristics_skin_type,characteristics_top_speed,characteristics_lifespan,characteristics_weight,characteristics_length,characteristics_age_of_sexual_maturity,characteristics_age_of_weaning,characteristics_litter_size,characteristics_predators,characteristics_type,characteristics_height,characteristics_distinctive_feature,characteristics_temperament,characteristics_training,characteristics_wingspan,characteristics_main_prey,characteristics_water_type,characteristics_age_of_independence,characteristics_average_spawn_size,characteristics_favorite_food,characteristics_origin,characteristics_migratory,characteristics_optimum_ph_level,characteristics_special_features,domesticos,protegidos,exoticos
Saber-Toothed Tiger,"['Central-America', 'North-America', 'South-America']",Animalia,Chordata,Mammalia,Carnivora,Felidae,Smilodon,Smilodon populator,,,,,,,,,Forests and grasslands,Carnivore,3,Pack,,,,Canines up to 7 inches long!,,BrownYellowBlackWhiteTan,Fur,,20 - 40 years,300kg (661lbs),2m - 2.5m (79in - 98in),,,,Humans,Mammal,,Large muscular body and long canine teeth,,,,"Deer, Bison, Woolly Mammoth",,,,Deer,,,,,1,0,0
Sable,"['Asia', 'Eurasia']",Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Martes,Martes zibellina,"Molluscs, hares, rodents, musk deer",Cub,Solitary,2.3 million,Poaching,Luxurious fur,,245 to 298 days,Dense forest,Omnivore,,,Sable,,"Russia, Mongolia, parts of China and Korean Peninsula",,Solitary,BrownBlack,Fur,,18 to 22 years,2 to 4 pounds,35 to 36 centimeters,2 years,7 weeks,1 to 7,"Wolves, foxes, wolverines, tigers, lynxes, eagles, owls",Mammal,,,,,,,,,,,,,,,1,0,0
Sable Black German Shepherd,['Europe'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,Puppy,,,,,,,,Omnivore,,,,,,,,GreyRedBlackTanSilver,Hair,30 mph,9-13 years,,,,,5-9 puppies,,mammal,,,"Intelligent, loyal, and courageous",,,,,,,,Germany,,,,0,1,0
Sable Ferret,"['Africa', 'Asia', 'Central-America', 'Eurasia', 'Europe', 'North-America', 'Oceania', 'South-America']",Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Mustela,Mustela furo,Rabbits and vermin if it is used for ferreting,Kit,Gregarious,Millions. The conservation status is “domesticated.”,None,"Its beautiful, dark brown fur",Poley,42 days,"Among humans, though native habitats are forests and woods near water.",Carnivore,,,Sable Ferret,1.0,Cosmopolitan,,A business or busyness,BrownWhiteGoldCream,Fur,15 mph,Six to 10 years,0.66 to 5.95 pounds,"20 inches including the tail, males larger than females",6 months,Three to six weeks,As many as 15 kits,None,Mammal,,,,,,,,,,Meat in the form of ferret food,,,,,1,0,0
Saiga,['Asia'],Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Saiga,Saiga tatarica,,calves,Herd,"50,000-150,000",poaching,Large nose with downward-facing nostrils,,5 months,"arid grasslands, steppes",Herbivore,,Herd,Saiga,2.0,Central Asia,,,BrownGreyYellow,Hair,80 mph,10-12yrs,30-45kg (66-99lbs),1-1.5m (3.2-5ft),8 months to 2 years,4 months,1-2,"wolves, dogs, foxes, humans",Antelope,0.6-0.8m (2-2.5 ft),,,,,,,,,"grasses, lichen",,,,,1,0,0
Saint Bernard,['Europe'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,,,,,,,Omnivore,,,Saint Bernard,,,"Gentle, loyal and friendly!",Mastiff,BrownYellowRedWhiteBrindleWhite-BrownMulti-colored,Hair,,10 years,91kg (200lbs),,,,,,,,,"Intelligent, friendly, loyal",,,,,,,,,,,,0,1,0
Saint Shepherd,['North-America'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,,,,,,,Omnivore,,,,,,,,BrownBlackWhite,Hair,,10 to 14 years,150 lbs,,,,,,,,,"Friendly, intelligent, eager-to-please",,,,,,,,,,,,0,1,0
Saluki,"['Asia', 'Europe']",Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,Puppy,,,,,,,,Omnivore,,,,,,,,FawnRedWhiteGoldTanCream,Hair,43 mph,10-17 years,,,,,4-8 puppies,,,,,,,,,,,,,Fertile Crescent,,,,0,1,0
Sambar,"['Asia', 'North-America', 'Oceania']",Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Rusa,Rusa unicolor,,Fawn,Solitary/Group,Unknown,Habitat loss and hunting,The large antlers of the male,Sambhur or sambur,8-9 months,Forests and grasslands,Herbivore,,,Sambar,1.0,South Asia,,,BrownWhite,Fur,,26 years,"109-544kg (240-1,200lbs)",1.5-2.4m (5-8ft),2 years,,1-2 fawns,"Humans, tigers, leopards, and dholes",Mammal,1.2-1.5m (4-5ft),,,,,,,,,"Leaves, berries, grasses, bark, fruits, herbs, and buds",,,,,1,0,0
Samoyed,['Not Listed'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,,,,,,,Omnivore,,,Samoyed,,,,,WhiteCreamBeige,Hair,,12 to 14 years,,,,,,,,,,"Gentle, friendly, adaptable",,,,,,,,,,,,0,1,0
Saola,['Asia'],Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Pseudoryx,Pseudoryx nghetinhensis,"Leaves, Grasses, Herbs",Calf,Mainly solitary,less than 250,Habitat loss and hunting,Horns that can grow up to 50cm long,Asian Unicorn,8 months,Moist and dense evergreen forest,Herbivore,1,Diurnal,Saola,1.0,Mountains of Vietnam-Laos border,Only known to science since 1992!,Mammal,BrownRedBlack,Fur,23 mph,8 - 12 years,80kg - 100kg (176lbs - 220lbs),150cm - 200cm (59in - 77in),2 - 3 years,6 - 8 months,,"Human, Tiger, Crocodile",,,,,,,,,,,,,,,,1,0,0
Savanna Goat,"['Africa', 'North-America', 'Oceania', 'South-America']",Animalia,Chordata,Mammalia,artiodactyla,Bovidae,Capra,Capra hircus,,Kid,Flock,"3,000 in the U.S., South Africa unknown",,Solid white coat with black skin,,150 days,savanna mixed woodland-grassland,Herbivore,,,savanna goat,-1.0,"South Africa, South America, United States, New Zealand, Australia",,,BlackWhite,Hair,,15-18 years,132 pounds,,4-6 months,10 to 12 weeks,1-3 kids,"humans, foxes, wolves, coyotes, mountain lions, bobcats, bears, eagles, dogs",Mammal,1.64ft - 2.08ft,,,,,,,,,,,,,,1,0,0
Schneagle,['North-America'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,,,,,,,Omnivore,,,,,,,,BlackWhiteTan,Hair,,12-15 years,25 lbs,,,,,,,,,"Alert and energetic, but devoted",,,,,,,,,,,,0,1,0
Scimitar-horned Oryx,['Africa'],Animalia,Chordata,Mammalia,Artiodactlya,Bovidae,Oryx,Oryx Dammah,,,,,"Human hunting, loss of habitat",,,,Desert and savanna woodlands,Herbivore,,Diurnalnomadic,Scimitar-horned oryx,,Norther Africa,Believed to be the inspiration for unicorn myths!,Mammal,,,MPH mph,15-20 years,200 to 460 lbs,,,,,"Lions, leopards, golden jackals, hyenas",,,,,,,,,,,,,,,,1,0,0
Sea Lion,['Ocean'],Animalia,Chordata,Mammalia,Carnivora,Otariidae,,Otariidae,,,,,,,,,Coastal waters and rocky shorelines,Omnivore,1,Herd,,,,It's flippers allow it to walk on the land,,BrownGreyTan,Fur,27 mph,15-22 years,"300-1,000kg (660-2,200lbs)",,,,,"Human, Sharks, Killer Whale",Mammal,,,,,,"Fish, Crabs, Squid",,,,Fish,,,,,1,0,0
Sea Otter,['Ocean'],Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Enhydra,Enhydra Lutris,,,,,,,,,Unpolluted areas close to the shore,Omnivore,1,Solitary,,,,Eats over 40 different marine species!,,BrownBlackTan,Fur,7 mph,12-15 years,14-45kg (30-100lbs),,,,,"Sharks, Humans, Killer Whales",Mammal,,,,,,"Sea Urchins, Clams, Crabs, Seaweed",,,,Sea Urchins,,,,,1,0,0
Seal,['Ocean'],Animalia,Chordata,Mammalia,Carnivora,Pinnipedia,,Phoca vitulina,,,,,,,,,Coastal waters and rocky shores,Carnivore,1,Herd,,,,There are 30 different species worldwide!,,BrownBlackWhiteTan,Smooth,27 mph,15-25 years,"105-3,000kg (230-6,000lbs)",,,,,"Human, Sharks, Killer Whale",Mammal,,,,,,"Fish, Crabs, Squid",,,,Fish,,,,,1,0,0
Sealyham Terrier,['Europe'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,,,,,,,Omnivore,,,,,,,,BlueWhiteChocolate,Hair,,12 – 14 years,,,,,,,,24 lbs,,Variable between quiet and frisky,,,,,,,,,,,,0,1,0
