name,locations,taxonomy_kingdom,taxonomy_phylum,taxonomy_class,taxonomy_order,taxonomy_family,taxonomy_genus,taxonomy_scientific_name,characteristics_prey,characteristics_name_of_young,characteristics_group_behavior,characteristics_estimated_population_size,characteristics_biggest_threat,characteristics_most_distinctive_feature,characteristics_other_name(s),characteristics_gestation_period,characteristics_habitat,characteristics_diet,characteristics_average_litter_size,characteristics_lifestyle,characteristics_common_name,characteristics_number_of_species,characteristics_location,characteristics_slogan,characteristics_group,characteristics_color,characteristics_skin_type,characteristics_top_speed,characteristics_lifespan,characteristics_weight,characteristics_length,characteristics_age_of_sexual_maturity,characteristics_age_of_weaning,characteristics_litter_size,characteristics_predators,characteristics_type,characteristics_height,characteristics_distinctive_feature,characteristics_temperament,characteristics_training,characteristics_wingspan,characteristics_main_prey,characteristics_water_type,characteristics_age_of_independence,characteristics_average_spawn_size,characteristics_favorite_food,characteristics_origin,characteristics_migratory,characteristics_optimum_ph_level,characteristics_special_features,domesticos,protegidos,exoticos
Elephant Shrew,['Africa'],Animalia,Chordata,Mammalia,Macroscelidea,Macroscelididae,Elephantulus,Elephantulus,,,,,,,,,"Forest, woodland and grassland",Omnivore,2,Solitary,,,,Found exclusively on the African continent!,,BrownGreyBlackWhiteTan,Fur,8 mph,2 - 5 years,50g - 500g (2oz - 18oz),10cm - 30cm (4in - 12in),,,,"Snakes, Lizards, Birds of Prey",Mammal,,Long nose and long back legs,,,,"Insects, Worms, Spiders",,,,Insects,,,,,1,0,0
Emperor Tamarin,['South-America'],Animalia,Chordata,Mammalia,Primates,Callitrichidae,Saguinus,Saguinus Imperator,,,,,,,,,Lowland tropical forest,Omnivore,2,Troop,,,,Has an elegant white moustache!,,BrownGreyBlackWhite,Fur,24 mph,8 - 15 years,220g - 900g (7.7oz - 32oz),18cm - 30cm (7in - 12in),,,,"Hawks, Snakes, Wild Cats",Mammal,,"Small body size and long, thin tail",,,,"Fruit, Insects, Rodents",,,,Fruit,,,,,1,0,0
English Cocker Spaniel,['Europe'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis Lupus,,,,,,,,,,Omnivore,,,English Cocker Spaniel,,,Intelligent yet stubborn by nature!,Gun Dog,,Hair,,15 years,15kg (34lbs),,,,,,,,,,,,,,,,,,,,,1,0,0
English Cream Golden Retriever,['Europe'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,,,,,,,Omnivore,,,,,,,,GoldCream,Hair,,10-12 years,75 lbs,,,,,,,,,Intelligent and obedient,,,,,,,,,,,,0,1,0
English Springer Spaniel,['Europe'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,,,,,,,Omnivore,,,English Springer Spaniel,,,Friendly and eager to please!,Gun Dog,,Hair,,12 years,25kg (55lbs),,,,,,,,,,,,,,,,,,,,,0,1,0
Entlebucher Mountain Dog,['Europe'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,,,,,,,Omnivore,,,Entlebucher Mountain Dog,,,Native to parts of the Swiss Alps!,Sennenhund,BlackWhiteTan,Hair,,12 years,30kg (65lbs),,,,,,,,,"Intelligent, affectionate, stubborn",,,,,,,,,,,,0,1,0
Epagneul Pont Audemer,['Europe'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,,,,,,,Omnivore,,,Epagneul Pont-Audemer,,,"Hard-working, gentle and affectionate!",Gun Dog,,Hair,,13 years,24kg (53lbs),,,,,,,,,,,,,,,,,,,,,0,1,0
Estrela Mountain Dog,['Europe'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,,,,,,,Omnivore,,,Estrela Mountain Dog,,,Very protective and stubborn!,Guard,,Hair,,16 years,47kg (105lbs),,,,,,,,,,,,,,,,,,,,,0,1,0
Eurasian Beaver,"['Asia', 'Europe']",Animalia,Chordata,Mammalia,Rodentia,Castoridae,Castor,Castor fiber,,kit,Social,"More than 200,000","Habitat loss, predators","large, flat tail",,107 days,"Ponds, lakes",Herbivore,,,beaver,,"Europe, Asia, Scandinavia",,,FawnLight-Brown,Fur,25 mph,seven to eight years,47 to 51 pounds,two to 3.5 feet,two years,six weeks,three to six,"Wolves, foxes, lynxes, wolverines",rodent,two to 3.5 feet,,,,,,,,,,,,,,0,1,0
Eurasian Lynx,"['Asia', 'Eurasia', 'Europe']",Animalia,Chordata,Mammalia,Carnivora,Felidae,Lynx,Lynx lynx,"Deer, elk, hare, rabbits, foxes, birds, and rodents",Kittens,Solitary,,Habitat loss and poaching,"The thick fur, bobbed tail, and ear tufts",Northern lynx,70 days,Forests and mountains,Carnivore,,,Eurasian Lynx,1.0,Eurasia,,,GreyYellowRedBlack,Fur,,,40-80lbs,27-51in,two to three years,,one to five kittens,,mammal,22-30in,,,,,,,,,,,,,,1,0,0
Eurasian Wolf,"['Asia', 'Eurasia', 'Europe']",Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus lupus,"Moose, deer, wild boar, reindeer, argali, mouflon, wisent, saiga, ibex, chamois, wild goats, etc.",pups,Pack,"150,000","Deforestation, humans.",Tawny coat,"Common wolf, European wolf, Carpathian wolf, steppes wolf, Tibetan wolf, Chinese wolf",7 weeks,"Tundra, plains, scrublands, mountains.",Carnivore,,,Eurasian Wolf,1.0,"Western Europe, Scandinavia, Russia, China, Mongolia, Himalayan mountains.",,Pack,GreyRedBlackWhiteCreamTawny,Fur,,"6-8 years, though some live up to 17 years.",86 to 174 lbs.,41 to 63 inches,2 years,8 weeks,6 pups,none,mammal,"31 to 33 inches, at the shoulder",,,,,,,,,,,,,,1,0,0
European Polecat,"['Africa', 'Eurasia', 'Europe']",Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Mustela,Mustela putorius,"Rodents, rabbits, lizards",kit,Solitary,,predators,Mask-like face markings,"Black polecat, western polecat, fitch",42 days,"Wetlands, marshes, coastal cliffs",Carnivore,,,European polecat,1.0,"Europe, North Africa, Asia",,solitary,RedBlackSilver,Fur,23 mph,five to 14 years,two to three pounds,one to 1 ½ feet,one year,three months,three to seven,,Mustelid,five to six inches,,,,,,,,,,,,,,1,0,0
European Wildcat,['Europe'],Animalia,Chordata,Mammalia,Carnivora,Felidae,Felis,Felis catus silvestris,"Rodents, rabbits, hares, small mammals",kitten,Territorial,"500,000",Shooting by humans,Fluffy tail/looks like a feral cat,,68 days,Mainly forests,Omnivore,,,European wildcat,4.0,Europe,,solitary,GreySandy,,,12-16 years,eight to 18 pounds,,10-11 months,five to 10 months,three to six kittens,,,,,,,,,,,,,,,,,1,0,0
Evening Bat,['North-America'],Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Nycticeius,Nycticeius humeralis,Insects,Pup,Social,"More than 100,000. Conservation status is least concern.",None,That it’s a flying mammal,,30 to 36 days,"Forests, wetlands, open areas",Carnivore,,,Evening bat,1.0,United States,,Colony,Dark BrownLight Grey,Fur,38 mph,Six years or less,0.21 to 0.49 ounces,"3.39 to 4.13 inches, females larger than males",10 months,42 days,Two,"Birds of prey, snakes, raccoons",Mammal,,,,,,,,,,,,,,,1,0,0
Fallow deer,"['Africa', 'Asia', 'Europe', 'North-America', 'Oceania', 'South-America']",Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Dama,Dama dama,,Fawn,Solitary/Herd,"Over 100,000",Humans,An adult deer with a common coat hangs on to the white spots it had as a fawn.,"Shovel deer, Yachmur",231 to 245 days,"Forests, grasslands, low mountains",Herbivore,,,,,,,,BrownBlackWhiteTan,Hair,30 mph,20 to 25 years,66 to 176 pounds,4.27 to 5.74 feet,"17 months for males, 16 months for females",Seven months,1,"Humans, bears, cougars, wolves",Mammal,"2.95 feet to 3.28 feet at the shoulder for males, females smaller",,,,,,,,,Vegetation,,,,,1,0,0
False Killer Whale,['Ocean'],Animalia,Chordata,Mammalia,Artiodactyla,Delphinidae,Pseudorca,Pseudorca crassidens,"Fish, squid, and marine mammals",,Pod,Unknown,Competition with humans for food,The versatile vocalizations,Blackfish or false pilot whale,Up to 16 months,Coastal and deep ocean regions,Carnivore,1,,False killer whale,,,,,GreyBlackWhite,Skin,18 mph,Around 60 years,"Up to 4,000 pounds",Up to 20 feet,,,,Sharks and killer whales,Mammal,,,,,,,Salt,,,,,,,,0,1,0
Field Spaniel,['Europe'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis Lupus,,,,,,,,,,Omnivore,,,Field Spaniel,,,A sociable and adaptable breed!,Gun Dog,,Hair,,14 years,23kg (50lbs),,,,,,,,,,,,,,,,,,,,,1,0,0
Fila Brasileiro,['South-America'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,Puppy,,,,,Brazilian Mastiff and Brazilian Molosser,,,Omnivore,,,Fila Brasileiro,,,,,YellowFawnRedBlackBrindleLight Grey,Hair,36 mph,9-12 years,,,,,2-5 puppies,,Mammal,,,Intense and loyal,,,,,,,,Brazil,,,,0,1,0
Fin Whale,['Ocean'],Animalia,Chordata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,Balaenoptera Physalus,,,,,,,,,Deep offshore waters,Carnivore,1,Herd,,,,Found throughout ocean waters worldwide!,,GreyBlueBlackWhite,Smooth,25 mph,50 - 60 years,"1,800kg - 70,000kg (4,000lbs - 150,000lbs)",6.5m - 24m (21ft - 79ft),,,,"Human, Large Sharks",Mammal,,Pointed snout and two blowholes on top of head,,,,"Krill, Fish, Squid",,,,Krill,,,,,1,0,0
Fisher Cat,['North-America'],Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Pekania,Pekania pennanti,"Rodents, hares, shrews, porcupines, birds, fruits, mushrooms, and nuts",Kits,Solitary,"100,000",Hunting and habitat loss,"The dense, luxurious coat of fur","Fisher, black cat, black fox, and pekan",10-12 months,Forests,Omnivore,,,Fisher Cat,1.0,North America,,,BrownBlackWhiteGoldSilver,Fur,,Up to 10 years,1.4-6.8kg (3-15lbs),50-63cm (20-25in),1-2 years,8-16 weeks,1-6 kits,"Bobcats, lynxes, foxes, and hawks",Mammal,Up to 30cm (12in),,,,,,,,,,,,,,1,0,0
Fishing Cat,['Asia'],Animalia,Chordata,Mammalia,Carnivora,Felidae,Prionailurus,Prionailurus viverrinus,"Fish, Shellfish, Snakes",Kitten,Solitary,"Less than 10,000",Habitat loss,"Long, stocky body and slightly webbed paws",,63 days,Variety of wetland habitats,Carnivore,2,Nocturnal,Fishing Cat,2.0,south-east Asia,Scoops fish out of the water using it's paw!,Mammal,BlackOlive-Grey,Fur,34 mph,10 - 12 years,5.5kg - 8kg (12lbs - 17.6lbs),57cm - 85cm (22.4in - 33.4in),9 - 10 months,4 - 6 months,,,,,,,,,,,,,,,,,,1,0,0
Flat-Coated Retriever,['Europe'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,,,,,,,Omnivore,,,Flat-Coated Retriever,,,A game retrieving gun-dog!,Gun Dog,,Hair,,12 years,32kg (70lbs),,,,,,,,,,,,,,,,,,,,,0,1,0
Florida Panther,['North-America'],Animalia,Chordata,Mammalia,Carnivora,Felidae,Puma,Puma concolor couguar,white-tail deer,kittens,Solitary,125,Man,Crooked tail,"Florida mountain lion, Florida cougar, Florida puma",92-96 days,"Forests, wetlands, and grasslands",Carnivore,,,Florida panther,1.0,Southeast U.S.,,Solitary,WhiteTan,Hair,25 mph,,45kg-73kg (100lbs-160lbs),1.8m – 2.3m (6ft-7.5ft),18 –36 months,3-4 months,1-3,Man,Mammals,0.6m- 0.7m(24in-28in),,,,,,,,,,,,,,1,0,0
Formosan Mountain Dog,['Asia'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,Puppy,,,,,,,,Omnivore,,,,,,,,FawnBlackWhiteBrindle,Hair,,10-13 years,,,,,10-12 puppies,,mammal,,,"Loyal, intelligent, and protective",,,,,,,,Taiwan,,,,0,1,0
Fossa,['Africa'],Animalia,Chordata,Mammalia,Carnivora,Eupleridae,Cryptoprocta,Cryptoprocta ferox,"Lemurs, Frogs, Lizards",Cub,Solitary,"Less than 2,500",Habitat loss,Webbed toes and retractable claws,,3 months,Dense tropical forest,Carnivore,2,Nocturnal,Fossa,1.0,Madagascar,Most closely related to the Mongoose!,Mammal,BrownRedBlack,Fur,35 mph,15 - 20 years,7kg - 12kg (15lbs - 28.5lbs),61cm - 80cm (24in - 32in)),4 years,4 months,,"Human, Crocodile",,,,,,,,,,,,,,,,1,0,0
Fruit Bat,"['Africa', 'Asia', 'Oceania', 'South-America']",Animalia,Chordata,Mammalia,Chiroptera,Pteropodidae,,,,Pups,Colony,Unknown,Habitat Loss,Wings,Flying Foxes,4-6 months,Forests and savannas,Herbivore,,,Fruit Bat,,"Africa, Asia, and Australia",,,BrownGreyBlack,Hair,,30years,Up to 1.4kg (3.1lbs),Up to 32cm (13in),2 years,A few months,1-4 pups,"Snakes, lizards, birds, and mammals",Mammal,,,,,,,,,,"Fruits, pollen, nectar, and more",,,,,1,0,0
Fur Seal,['Ocean'],Animalia,Chordata,Mammalia,Carnivora,Otariidae,Arctocephalus,Arctocephalinae,,,,,,,,,Cold waters and rocky land,Carnivore,1,Herd,,,,Found only in the Northern Hemisphere!,,BrownGreyBlack,Fur,27 mph,12 - 18 years,105kg - 300kg (230lbs - 661lbs),1.5m - 2m (59in - 79in),,,,"Leopard Seal, Sharks, Killer Whale",Mammal,,External ear flaps and stocky build,,,,"Squid, Fish, Birds",,,,Squid,,,,,1,0,0
Gazelle,"['Africa', 'Asia']",Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Gazella,Gazella gazella,,fawns,Herd,<500,hunting,Long curved horns,,5-6 months,"Grasslands, savannas, shrubby steppes",Herbivore,,,gazelle,16.0,"Africa, Asia",,herd,BrownYellowBlackWhite,Fur,60 mph,10-12 years,26 to 165 lbs.,42.0 to 49.0 feet,1 year (males) to 1.5 years (females),2-3 months,1-2,"Lions, leopards, cheetahs, hyenas, wolves",mammal,2.0 to 3.6 feet,,,,,,,,,,,,,,1,0,0
Geoffroys Tamarin,"['Central-America', 'South-America']",Animalia,Chordata,Mammalia,Primates,Callitrichidae,Saguinus,Saguinus Geoffroyi,,,,,,,,,Lowland tropical forest,Omnivore,2,Troop,,,,Has distinctive V shape on head!,,BrownGreyBlackWhite,Fur,24 mph,8 - 15 years,220g - 900g (7.7oz - 32oz),18cm - 30cm (7in - 12in),,,,"Hawks, Snakes, Wild Cats",Mammal,,"Small body size and long, thin tail",,,,"Fruit, Insects, Rodents",,,,Fruit,,,,,1,0,0
Gerberian Shepsky,['North-America'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,,,,,,,Omnivore,,,,,,,,BrownGreyBlackWhiteGoldTanCream,Hair,,10-13 years,88 lbs,,,,,,,,,"Loyal, intelligent, and alert",,,,,,,,,,,,0,1,0
German Pinscher,['Europe'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,,,,,,,Omnivore,,,German Pinscher,,,Highly intelligent and fast learners!,Terrier,,Hair,,15 years,16kg (35lbs),,,,,,,,,,,,,,,,,,,,,0,1,0
German Shepherd Guide,['Europe'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis Lupus,,,,,,,,,,Omnivore,,,German Shepherd,,,Highly active and fearless dogs!,Herd,,Hair,,12 years,43kg (95lbs),,,,,,,,,,,,,,,,,,,,,1,0,0
German Sheppit,['North-America'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,,,,,,,Omnivore,,,,,,,,GreyFawnBlackWhiteTan,Hair,,10 - 12 years,90 lbs,,,,,,,,,"Loyal, protective, and smart",,,,,,,,,,,,0,1,0
German Sheprador,['North-America'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,,,,,,,Omnivore,,,,,,,,,,,,,,,,,,,,,,,,_,,,,,,1.0,,,0,1,0
German Shorthaired Pointer,['Europe'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,,,Unique markings on body,,,,Omnivore,,,,,,,,BrownBlackWhiteDark BrownChocolate,Hair,,12-14 years,45-60 lbs,,,,8-12 puppies,,,21-25 inches,,,,,,,,,,,,,,0,1,0
German Spitz,['Europe'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,,,,,,,Omnivore,,,,,,,,BrownBlackWhiteTanCreamOrange,Hair,,13-15 years,,,,,,,,,,"Lively, devoted to family, intelligent, and beautiful",,,,,,,,,,,,0,1,0
Giant Armadillo,['South-America'],Animalia,Chordata,Mammalia,Cingulata,Chlamyphoridae,Priodontes,Priodontes maximus,"Ants, termites, worms",Pup,Solitary,"Unknown, but it is declining.","Humans, who destroy their habitat and kill them",Its size,"Tatou, ocarro, cachicamo, pejichi, tatú carreta, cabazú",122 days,"Rainforests, savannas, dry and semiarid woods, floodplains in Brazil, other places where there’s a steady supply of termites",Carnivore,,,Giant armadillo,1.0,South America,,None; solitary,GreyBlack,Plates,30 mph,12 to 15 years,Between 41.19 and 71.15 pounds though much larger individuals have been found,Between 32.76 and 37.8 inches,9 to 12 months,6 months,1,"Humans, pumas, jaguars",Mammal,,,,,,,,,,,,,,,1,0,0
Giant Panda Bear,['Asia'],Animalia,Chordata,Mammalia,Carnivora,Ursidae,Ailuropoda,Ailuropoda melanoleuca,"Bamboo, Fruits, Rodents",Cub,Solitary,"2,000",Habitat loss,Extension of wrist bone acts as a thumb,"Giant Bear Cat, Bamboo Bear",5 months,"High-altitude, moist bamboo forest",Omnivore,1,Diurnal/Nocturnal,"Giant Panda, Giant Panda Bear",1.0,Mountains of central China,Bamboo makes up 99 per cent of their diet!,Mammal,BrownBlackWhite,Fur,20 mph,20 - 35 years,110kg - 250kg (242lbs - 551lbs),,4 - 8 years,12 - 15 months,,,,1.5m - 1.8m (4.9ft - 6ft),,,,,,,,,,,,,,1,0,0
Giant Schnauzer,['Europe'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,,,,,,,Omnivore,,,Giant Schauzer,,,"Large, powerful and dominant!",Herd,,Hair,,12 years,35kg (77lbs),,,,,,,,,,,,,,,,,,,,,0,1,0
Giant Schnoodle,['North-America'],Animalia,Chordata,Mammalia, Carnivora, Canidae,Canis,Canis lupus,,,,,,,,,,Omnivore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0
Giraffe,['Africa'],Animalia,Chordata,Mammalia,Artiodactyla,Giraffidae,Giraffa,Giraffa camelopardalis,"Leaves, Fruits, Seeds",Calf,Herd,Stable,Hunting and habitat loss,Elongated neck and unique patterned coat,,457 days,Open woodland and savannah,Herbivore,1,Diurnal,Giraffe,9.0,sub-Saharan Africa,"Long, black tongue can grow to 18 inches long!",Mammal,BrownRedBlackWhiteTan,Hair,30 mph,20 - 25 years,"550kg - 1,930kg (1,200lbs - 4,200lbs)",,3.5 - 4.5 years,13 months,,,,4m - 6m (13ft - 20ft),,,,,,,,,,,,,,1,0,0
Glen Of Imaal Terrier,['Europe'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,,,,,,,Omnivore,,,,,,,,BlueBrindleBlonde,Hair,,10 to 14 years,40 lbs,,,,,,,,,"Gentle, courageous, and hard-working",,,,,,,,,,,,0,1,0
Goat,"['Africa', 'Asia', 'Eurasia', 'Europe']",Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Capra,,,,,,,,,,Dry woodland and mountainous regions,Herbivore,2,Herd,,,,Most closely related to the Sheep!,,BrownBlackWhiteTan,Fur,10 mph,10-15 years,54-77kg (120-170lbs),,,,,"Human, Wolf, Mountain Lion",Mammal,,,,,,"Grass, Fruit, Leaves",,,,Grass,,,,,1,0,0
Goberian,['North-America'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,,,,,,,Omnivore,,,,,,,,BrownGreyBlackWhiteCream,Hair,,10 to 15 years,80 lbs,,,,,,,,,"Friendly, smart, and playful",,,,,,,,,,,,0,1,0
Goldador,['North-America'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,,,,,,,Omnivore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0
Golden Lion Tamarin,['South-America'],Animalia,Chordata,Mammalia,Primates,Callitrichidae,Leontopithecus,Leontopithecus rosalia,,,,,,,,,Lowland tropical forest,Omnivore,2,Troop,,,,Native to the eastern rainforests of Brazil!,,BrownBlackGoldOrange,Hair,24 mph,8-15 years,550-700g (19-25oz),,,,,"Hawks, Wild Cats, Snakes, Rats",Mammal,,,,,,"Fruit, Insects, Small Mammals, Small Reptiles",,,,Fruit,,,,,1,0,0
Golden Saint,['North-America'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,,,,,,,Omnivore,,,,,,,,BrownYellowRedBlackWhiteBrindleCreamChocolate,Hair,,8-13 years,220lbs,,,,,,,,,"Sweet, gentle, and playful",,,,,,,,,,,,0,1,0
Gorilla,['Africa'],Animalia,Chordata,Mammalia,Primates,Hominidae,Gorilla,,,,,,,,,,Rainforest and dense jungle,Omnivore,1,Troop,,,,The biggest of the world's primates!,,GreyBlack,Hair,25 mph,35-50 years,100-200kg (220-440lbs),,,,,"Human, Leopard, Crocodile",Mammal,,,,,,"Leaves, Fruit, Flowers",,,,Leaves,,,,,1,0,0
Grasshopper Mouse,"['Central-America', 'North-America']",Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Onychomys,,"Scorpions, insects, grasshoppers, crickets, and kangaroo rats","Kitten, pinkie, or cub",Mainly solitary,unknown,"Owls, birds, and humans",Furry bodies and sometimes fat tails,,26 to 35 days,"Grasslands, elevated areas, and deserted scrubs",Carnivore,,,Grasshopper mice,3.0,"Canada, Mexico, California",,,GreyWhiteGoldPink,Fur,,The lifespan is only about a few weeks or months in the wild,20 to 50 grams,"Body - 3.5 to 5 inches, tail – 1 to 2.5 inches",Approximately 3-4 months old,3 weeks,"2-6, though most litters are just 4 pups",,Rodent,"Body - 3.5 to 5 inches, tail – 1 to 2.5 inches",,,,,,,,,,,,,,1,0,0
Gray Fox,"['Central-America', 'North-America', 'South-America']",Animalia,Chordata,Mammalia,Carnivora,Canidae,Urocyon,Urocyon cinereoargenteus,"Rodents, birds, insects, and fruit",Pups or kits,SolitaryFamily units,Unknown,Hunting and habitat loss,The silver gray coat of fur,Tree fox or cat fox,53-63 days,Forests and plains,Omnivore,,,Gray Fox,1.0,North America and northern part of South America,,,GreyRedBlackWhite,Fur,28 mph,6-12 years,3.2-6.4kg (7-14lbs),89-105cm (35-41in),10 months,2-6 weeks,1-7 kits,,Mammal,30-40cm (12-16in),,,,,,,,,,,,,,1,0,0
Great Dane,['Europe'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,,,,,,,Omnivore,,,Great Dane,,,Large and imposing in appearance!,Mastiff,,Hair,,8 to 10 years,45kg (100lbs),,,,,,,,,,,,,,,,,,,,,0,1,0
Great Danoodle,['North-America'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,,,,,,,Omnivore,,,,,,,,GreyRedBlueBlackWhiteCreamSilverBeige,Hair,,10-13 years,100 lbs,,,,,,,,,"Sweet, polite, and loyal",,,,,,,,,,,,0,1,0
Great Pyrenees,['Europe'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,,,,,,,Omnivore,,,Great Pyrenees,,,,,GreyWhiteTan,Hair,,10 to 12 years,,,,,,,,,,"Calm, Patient, and Intelligent",,,,,,,,,,,,0,1,0
Greater Swiss Mountain Dog,['Europe'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,,,,,,,Omnivore,,,Greater Swiss Mountain Dog,,,Protective and gentle by nature!,Sennenhund,,Hair,,12 years,59kg (130lbs),,,,,,,,,,,,,,,,,,,,,0,1,0
Greenland Dog,['North-America'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,,,,,,,Omnivore,,,Greenland Dog,,,Strong and speedy breed of dog!,,GreyBlack,Hair,,12 years,30kg (66lbs),,,,,,,,,,,,,,,,,,,,,0,1,0
Grey Seal,['Ocean'],Animalia,Chordata,Mammalia,Carnivora,Phocidae,Halichoerus,Halichoerus Grypus,,,,,,,,,Cool waters and rocky shores,Carnivore,1,Herd,,,,One of the rarest species of seal on Earth,,GreyTan,Smooth,6 mph,18-25 years,150-300kg (330-660lbs),,,,,"Human, Sharks, Killer Whale",Mammal,,,,,,"Fish, Squid, Sandeels",,,,Fish,,,,,1,0,0
Grizzly Bear,['North-America'],Animalia,Chordata,Mammalia,Carnivora,Ursidae,Ursus,Ursus Arctos Horriblis,,,,,,,,,Forest and mountainous regions,Omnivore,2,Solitary,,,,Less than 10% make it into adulthood,,BlackDark Brown,Fur,35 mph,15 - 25 years,181kg - 318kg (400lbs - 700lbs),,,,,"Human, Cougars",Mammal,2.1m - 3m (7ft - 10ft),"Strong, powerful shoulders and enormous claws",,,,"Salmon, Fruit, Fish",,,,Salmon,,,,,1,0,0
Groenendael,['Europe'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,,,,,,,Omnivore,,,,,,,,Black,Hair,,12 to 14 years,75 lbs,,,,,,,,,"Alert and confident, friendly but can be stubborn.",,,,,,,,,,,,0,1,0
Guinea Pig,['South-America'],Animalia,Chordata,Mammalia,Rodentia,Caviidae,Cavia,Cavia porcellus,"Grass, Seeds, Flowers",Pup,Herd,Unknown,Habitat loss and hunting,Four large front teeth,"Cavy, Little Pig",58 - 72 days,Grassland and mountain slopes,Herbivore,4,Diurnal,Guinea Pig,5.0,South America,Natively found in the Andes Mountain range!,Mammal,BrownGreyBlackWhiteOrange,Fur,5.5 mph,3 - 8 years,0.5kg - 1.5kg (1lbs - 3.5lbs),20cm - 40cm (8in - 16in),3 months,3 weeks,,,,,,,,,,,,,,,,,,1,0,0
Hamster,"['Africa', 'Asia', 'Central-America', 'Eurasia', 'Europe', 'North-America', 'Oceania', 'South-America']",Animalia,Chordata,Mammalia,Rodentia,Cricetidae,,,,,,,,,,,Dry deserts and sand dunes,Omnivore,8,Solitary,,,,Able to run as quickly backwards as forwards!,,BrownBlackWhiteTan,Fur,4 mph,2-3 years,100-900g (3.5-32oz),,,,,"Owl, Hawk, Snakes",Mammal,,,,,,"Seeds, Nuts, Berries",,,,Seeds,,,,,1,0,0
Harbor Seal,['Ocean'],Animalia,Chordata,Mammalia,Carnivora,Phocidae,Phoca,Phoca vitulina,Aquatic animals and ducks,Pup,Solitary/Group,"350,000 to 500,000","Human activity, including hunting and pollution of habitat","Their whiskers. Unlike other mammals, whose whisker follicles have two blood sinuses, the harbor seal’s whiskers have three.","Common seal, Western Atlantic common seal, Eastern Atlantic common seal, Ungava or Lacs des Loups Marins seal, Pacific common seal, Insular seal",About nine months,"Coastal waters of the Pacific and Atlantic Oceans, the Baltic Sea and the North Sea",Carnivore,,,Harbor seal,5.0,"Western Asia, eastern Asia, Europe and North America",,,BrownGreyWhiteTan,Fur,12 mph,"30 to 35 years for females, 20 to 25 years for males",370 pounds,6.1 feet,"3.72 years for females, 4 to 5 years for males",Four to six weeks,1,"Humans, sharks, polar bears, wolves, coyotes, killer whales",Mammal,,,,,,,,,,"Fish, crustaceans, mollusks, ducks",,,,,1,0,0
