name,locations,taxonomy_kingdom,taxonomy_phylum,taxonomy_class,characteristics_diet
Elegant Tern,"['Central-America', 'North-America', 'South-America']",Animalia,Chordata,Aves,Carnivore
Eurasian Jay,"['Africa', 'Asia', 'Eurasia', 'Europe']",Animalia,Chordata,Aves,Omnivore
Eurasian Nuthatch,"['Asia', 'Eurasia', 'Europe']",Animalia,Chordata,Aves,Omnivore
European Bee-Eater,"['Africa', 'Asia', 'Eurasia', 'Europe']",Animalia,Chordata,Aves,Omnivore
European Robin,"['Africa', 'Asia', 'Eurasia', 'Europe']",Animalia,Chordata,Aves,Omnivore
Falcon,"['Africa', 'Asia', 'Central-America', 'Eurasia', 'Europe', 'North-America', 'Oceania', 'South-America']",Animalia,Chordata,Aves,Carnivore
Ferruginous Hawk,"['Central-America', 'North-America']",Animalia,Chordata,Aves,Carnivore
Flamingo,"['Africa', 'Asia', 'Central-America', 'Eurasia', 'Europe', 'North-America', 'South-America']",Animalia,Chordata,Aves,Omnivore
Frigatebird,['Ocean'],Animalia,Chordata,Aves,Carnivore
Galapagos Penguin,['Ocean'],Animalia,Chordata,Aves,Carnivore
Golden Masked Owl,['Oceania'],Animalia,Chordata,Aves,Carnivore
Goshawk,"['Africa', 'Central-America', 'Eurasia', 'North-America', 'Ocean', 'South-America']",Animalia,Chordata,Aves,Carnivore
Gouldian Finch,['Oceania'],Animalia,Chordata,Aves,Herbivore
Great Blue Heron,"['Central-America', 'North-America', 'South-America']",Animalia,Chordata,Aves,Carnivore
Great Crested Flycatcher,"['Central-America', 'North-America', 'South-America']",Animalia,Chordata,Aves,Omnivore
Great Egret,"['Africa', 'Asia', 'Europe', 'Oceania']",Animalia,Chordata,Aves,Carnivore
Green Bee-Eater,"['Africa', 'Asia', 'Eurasia']",Animalia,Chordata,Aves,Omnivore
Guinea Fowl,['Africa'],Animalia,Chordata,Aves,Omnivore
Harpy Eagle,"['Central-America', 'South-America']",Animalia,Chordata,Aves,Carnivore
Harris Hawk,"['Central-America', 'North-America', 'South-America']",Animalia,Chordata,Aves,Carnivore
Hawaiian Crow,['Extinct in the Wild'],Animalia,Chordata,Aves,Omnivore
Hawaiian Goose,['North-America'],Animalia,Chordata,Aves,Herbivore
Honey Buzzard,"['Asia', 'Eurasia', 'Europe', 'Oceania']",Animalia,Chordata,Aves,Carnivore
House Sparrow,"['Africa', 'Asia', 'Central-America', 'Eurasia', 'Europe', 'North-America', 'Oceania', 'South-America']",Animalia,Chordata,Aves,Omnivore
Jacana,"['Africa', 'Asia', 'Central-America', 'Oceania', 'South-America']",Animalia,Chordata,Aves,Omnivore
Jackdaw,"['Asia', 'Eurasia', 'Europe']",Animalia,Chordata,Aves,Omnivore
Kakapo,['Oceania'],Animalia,Chordata,Aves,Herbivore
Keel-Billed Toucan,"['Central-America', 'South-America']",Animalia,Chordata,Aves,Omnivore
Kookaburra,['Oceania'],Animalia,Chordata,Aves,Carnivore
Kori Bustard,['Africa'],Animalia,Chordata,Aves,Omnivore
Lappet-faced Vulture,"['Africa', 'Asia']",Animalia,Chordata,Aves,Carnivore
Long-Eared Owl,"['Asia', 'Eurasia', 'Europe', 'North-America']",Animalia,Chordata,Aves,Carnivore
