name,locations,taxonomy_kingdom,taxonomy_phylum,taxonomy_class,taxonomy_order,taxonomy_family,taxonomy_genus,taxonomy_scientific_name,characteristics_prey,characteristics_name_of_young,characteristics_group_behavior,characteristics_estimated_population_size,characteristics_biggest_threat,characteristics_most_distinctive_feature,characteristics_other_name(s),characteristics_gestation_period,characteristics_habitat,characteristics_diet,characteristics_average_litter_size,characteristics_lifestyle,characteristics_common_name,characteristics_number_of_species,characteristics_location,characteristics_slogan,characteristics_group,characteristics_color,characteristics_skin_type,characteristics_top_speed,characteristics_lifespan,characteristics_weight,characteristics_length,characteristics_age_of_sexual_maturity,characteristics_age_of_weaning,characteristics_litter_size,characteristics_predators,characteristics_type,characteristics_height,characteristics_distinctive_feature,characteristics_temperament,characteristics_incubation_period,characteristics_average_clutch_size,characteristics_venomous,characteristics_aggression,characteristics_main_prey,characteristics_water_type,characteristics_age_of_independence,characteristics_nesting_location,characteristics_favorite_food,characteristics_origin,characteristics_migratory,characteristics_special_features,domesticos,protegidos,exoticos,altura_cm,peso_en_kg
Gorilla,['Africa'],Animalia,Chordata,Mammalia,Primates,Hominidae,Gorilla,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Rainforest and dense jungle,Omnivore,1,Troop,Unknown,Unkown,Unknown,The biggest of the world's primates!,Unknown,GreyBlack,Hair,25 mph,35-50 years,100-200kg (220-440lbs),Unknown,Unknown,Unknown,Unknown,"Human, Leopard, Crocodile",Mammal,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Leaves, Fruit, Flowers",Unknown,Unknown,Unknown,Leaves,Unknown,Unknown,Unknown,1,0,0,,150.0
Grasshopper Mouse,"['Central-America', 'North-America']",Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Onychomys,Unknown,"Scorpions, insects, grasshoppers, crickets, and kangaroo rats","Kitten, pinkie, or cub",Mainly solitary,unknown,"Owls, birds, and humans",Furry bodies and sometimes fat tails,Unknown,26 to 35 days,"Grasslands, elevated areas, and deserted scrubs",Carnivore,Unknown,Unknown,Grasshopper mice,3.0,"Canada, Mexico, California",Unknown,Unknown,GreyWhiteGoldPink,Fur,Unknown,The lifespan is only about a few weeks or months in the wild,20 to 50 grams,"Body - 3.5 to 5 inches, tail – 1 to 2.5 inches",Approximately 3-4 months old,3 weeks,"2-6, though most litters are just 4 pups",Unknown,Rodent,"Body - 3.5 to 5 inches, tail – 1 to 2.5 inches",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,12.7,0.017550000000000003
Gray Fox,"['Central-America', 'North-America', 'South-America']",Animalia,Chordata,Mammalia,Carnivora,Canidae,Urocyon,Urocyon cinereoargenteus,"Rodents, birds, insects, and fruit",Pups or kits,SolitaryFamily units,Unknown,Hunting and habitat loss,The silver gray coat of fur,Tree fox or cat fox,53-63 days,Forests and plains,Omnivore,Unknown,Unknown,Gray Fox,1.0,North America and northern part of South America,Unknown,Unknown,GreyRedBlackWhite,Fur,28 mph,6-12 years,3.2-6.4kg (7-14lbs),89-105cm (35-41in),10 months,2-6 weeks,1-7 kits,Unknown,Mammal,30-40cm (12-16in),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,105.0,4.762719885
Great Dane,['Europe'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Omnivore,Unknown,Unknown,Great Dane,Unkown,Unknown,Large and imposing in appearance!,Mastiff,Unknown,Hair,Unknown,8 to 10 years,45kg (100lbs),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,1,0,45.0,45.0
Great Danoodle,['North-America'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Omnivore,Unknown,Unknown,Unknown,Unkown,Unknown,Unknown,Unknown,GreyRedBlueBlackWhiteCreamSilverBeige,Hair,Unknown,10-13 years,100 lbs,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Sweet, polite, and loyal",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,1,0,,45.359237
Great Pyrenees,['Europe'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Omnivore,Unknown,Unknown,Great Pyrenees,Unkown,Unknown,Unknown,Unknown,GreyWhiteTan,Hair,Unknown,10 to 12 years,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Calm, Patient, and Intelligent",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,1,0,,
Greater Swiss Mountain Dog,['Europe'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Omnivore,Unknown,Unknown,Greater Swiss Mountain Dog,Unkown,Unknown,Protective and gentle by nature!,Sennenhund,Unknown,Hair,Unknown,12 years,59kg (130lbs),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,1,0,59.0,59.0
Greenland Dog,['North-America'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Omnivore,Unknown,Unknown,Greenland Dog,Unkown,Unknown,Strong and speedy breed of dog!,Unknown,GreyBlack,Hair,Unknown,12 years,30kg (66lbs),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,1,0,,30.0
Grey Mouse Lemur,['Africa'],Animalia,Chordata,Mammalia,Primates,Cheirogaleidae,Microcebus,Microcebus murinus,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Tropical Woodland,Omnivore,2,Solitary,Unknown,Unkown,Unknown,The largest species of mouse lemur!,Unknown,BrownGreyBlackWhite,Fur,20 mph,3 - 8 years,58g - 67g (2oz - 2.4oz),25cm - 28cm (9.8in - 11in),Unknown,Unknown,Unknown,"Owls, Snakes, Fossa",Mammal,Unknown,Small body size and large eyes,Unknown,Unknown,Unknown,Unknown,Unknown,"Insects, Fruits, Flowers",Unknown,Unknown,Unknown,Insects,Unknown,Unknown,Unknown,1,0,0,26.5,0.058
Grey Seal,['Ocean'],Animalia,Chordata,Mammalia,Carnivora,Phocidae,Halichoerus,Halichoerus Grypus,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Cool waters and rocky shores,Carnivore,1,Herd,Unknown,Unkown,Unknown,One of the rarest species of seal on Earth,Unknown,GreyTan,Smooth,6 mph,18-25 years,150-300kg (330-660lbs),Unknown,Unknown,Unknown,Unknown,"Human, Sharks, Killer Whale",Mammal,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Fish, Squid, Sandeels",Unknown,Unknown,Unknown,Fish,Unknown,Unknown,Unknown,1,0,0,,225.0
Greyhound,['Europe'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis Lupus,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Omnivore,Unknown,Unknown,Greyhound,Unkown,Unknown,Extremely fast and athletic!,South,Unknown,Hair,Unknown,11 years,32kg (70lbs),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,,32.0
Griffonshire,['North-America'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Omnivore,Unknown,Unknown,Unknown,Unkown,Unknown,Unknown,Unknown,BrownBlueBlackCream,Hair,Unknown,10-15 years,10 lbs,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Lively and smart,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,1,0,,4.535923700000001
Grizzly Bear,['North-America'],Animalia,Chordata,Mammalia,Carnivora,Ursidae,Ursus,Ursus Arctos Horriblis,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Forest and mountainous regions,Omnivore,2,Solitary,Unknown,Unkown,Unknown,Less than 10% make it into adulthood,Unknown,BlackDark Brown,Fur,35 mph,15 - 25 years,181kg - 318kg (400lbs - 700lbs),Unknown,Unknown,Unknown,Unknown,"Human, Cougars",Mammal,2.1m - 3m (7ft - 10ft),"Strong, powerful shoulders and enormous claws",Unknown,Unknown,Unknown,Unknown,Unknown,"Salmon, Fruit, Fish",Unknown,Unknown,Unknown,Salmon,Unknown,Unknown,Unknown,1,0,0,,181.0
Groenendael,['Europe'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Omnivore,Unknown,Unknown,Unknown,Unkown,Unknown,Unknown,Unknown,Black,Hair,Unknown,12 to 14 years,75 lbs,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Alert and confident, friendly but can be stubborn.",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,1,0,,34.01942775
Groundhog (Woodchuck),['North-America'],Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Marmota,Marmota monax,Unknown,pups,Social,Over 200 million,"Carnivores, humans","their four long, sharp incisors","Woodchuck, whistlepig",32 days,"Forest, woodlands, suburban gardens",Omnivore,Unknown,Unknown,"Groundhog, Woodchuck",12.0,United States and Canada,Unknown,Unknown,BrownGrey,Fur,10 mph,"6 years in the wild, 14 in captivity",10 to 13 pounds,2 feet,2 years,6 weeks,2 to 6,"Coyotes, badgers, bobcats, foxes",rodent, 1 ½ to 2 feet,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,60.96,5.8967008100000005
Guinea Pig,['South-America'],Animalia,Chordata,Mammalia,Rodentia,Caviidae,Cavia,Cavia porcellus,"Grass, Seeds, Flowers",Pup,Herd,Unknown,Habitat loss and hunting,Four large front teeth,"Cavy, Little Pig",58 - 72 days,Grassland and mountain slopes,Herbivore,4,Diurnal,Guinea Pig,5.0,South America,Natively found in the Andes Mountain range!,Mammal,BrownGreyBlackWhiteOrange,Fur,5.5 mph,3 - 8 years,0.5kg - 1.5kg (1lbs - 3.5lbs),20cm - 40cm (8in - 16in),3 months,3 weeks,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,30.0,1.0
Hamster,"['Africa', 'Asia', 'Central-America', 'Eurasia', 'Europe', 'North-America', 'Oceania', 'South-America']",Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Dry deserts and sand dunes,Omnivore,8,Solitary,Unknown,Unkown,Unknown,Able to run as quickly backwards as forwards!,Unknown,BrownBlackWhiteTan,Fur,4 mph,2-3 years,100-900g (3.5-32oz),Unknown,Unknown,Unknown,Unknown,"Owl, Hawk, Snakes",Mammal,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Seeds, Nuts, Berries",Unknown,Unknown,Unknown,Seeds,Unknown,Unknown,Unknown,1,0,0,,0.45
Harbor Seal,['Ocean'],Animalia,Chordata,Mammalia,Carnivora,Phocidae,Phoca,Phoca vitulina,Aquatic animals and ducks,Pup,Solitary/Group,"350,000 to 500,000","Human activity, including hunting and pollution of habitat","Their whiskers. Unlike other mammals, whose whisker follicles have two blood sinuses, the harbor seal’s whiskers have three.","Common seal, Western Atlantic common seal, Eastern Atlantic common seal, Ungava or Lacs des Loups Marins seal, Pacific common seal, Insular seal",About nine months,"Coastal waters of the Pacific and Atlantic Oceans, the Baltic Sea and the North Sea",Carnivore,Unknown,Unknown,Harbor seal,5.0,"Western Asia, eastern Asia, Europe and North America",Unknown,Unknown,BrownGreyWhiteTan,Fur,12 mph,"30 to 35 years for females, 20 to 25 years for males",370 pounds,6.1 feet,"3.72 years for females, 4 to 5 years for males",Four to six weeks,1,"Humans, sharks, polar bears, wolves, coyotes, killer whales",Mammal,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Fish, crustaceans, mollusks, ducks",Unknown,Unknown,Unknown,1,0,0,185.928,167.82917690000002
Hare,"['Africa', 'Asia', 'Central-America', 'Eurasia', 'Europe', 'North-America', 'Oceania', 'South-America']",Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Lepus,Lepus,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Dense vegetation and open fields,Herbivore,6,Solitary,Unknown,Unkown,Unknown,Can reach speeds of over 40 mph!,Unknown,BrownBlackWhiteTan,Fur,45 mph,2-8 years,1-5.5kg (3-12lbs),Unknown,Unknown,Unknown,Unknown,"Owl, Hawk, Coyote",Mammal,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Grass, Fruit, Seeds",Unknown,Unknown,Unknown,Grass,Unknown,Unknown,Unknown,1,0,0,,3.401942775
Harp Seal,['Ocean'],Animalia,Chordata,Mammalia,Carnivora,Phocidae,Pagophilus,Pagophilus groenlandicus,Fish and marine invertebrates,Pups,Solitary/Colony,Up to 7.6 million,Climate change,The harp-shaped black mark on the back,Saddleback seal or Greenland seal,11.5 months,Oceans and ice packs,Carnivore,Unknown,Unknown,Harp Seal,1.0,North Atlantic and Arctic Oceans,Unknown,Unknown,GreyBlackWhite,Fur,Unknown,Unknown,120-135kg (260-300lbs),1.5-2m (5-6.5ft),5.5 years,10 to 12 days,1,"Killer whales, polar bears, walruses, and sharks",Mammal,120-135kg (260-300lbs),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,,127.5
Harrier,['Europe'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Omnivore,Unknown,Unknown,Harrier,Unkown,Unknown,"Cheerful, tolerant and sweet-tempered!",Hound,Unknown,Hair,Unknown,10 – 12 years,27kg (60lbs),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,1,0,27.0,27.0
Havanese,['Central-America'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Omnivore,Unknown,Unknown,Havanese,Unkown,Unknown,These are the only dogs that are native to Cuba,Toy,Unknown,Hair,Unknown,15 years,13lbs,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,1,0,,5.8967008100000005
Havashire,['North-America'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Omnivore,Unknown,Unknown,Unknown,Unkown,Unknown,Unknown,Unknown,FawnRedBlackWhiteTanBrindleMulti-colored,Hair,Unknown,13 to 15 years,12 lbs,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Affectionate, loyal, charismatic, and spunky",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,1,0,,5.4431084400000005
Hawaiian Monk Seal,['North-America'],Animalia,Chordata,Mammalia,Carnivora,Phocidae,Neomonachus,Neomonachus schauinslandi,"Fish, lobster, crab, octopus and squid",Pup,Mainly solitary,1400,Habitat loss,Folds of skin around neck that look like a monk's robe,"Ilioholokauaua (the dog which runs in rough waters), na mea hulu (the furry one) and iliokai (seadog)",9 months,Northwestern Hawaiian Islands' waters and beaches,Carnivore,Unknown,Unknown,Monk seal,2.0,Northwestern Hawaiian Islands,Unknown,colony or rookery,GreyWhite,Fur,5 mph,30 years,Unknown,7-8 feet,4 years,1.5 months,1,Sharks,Mammal,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Hawaiian inslands,Unknown,Unknown,1,0,0,228.6,
Hedgehog,"['Africa', 'Asia', 'Eurasia', 'Europe']",Animalia,Chordata,Mammalia,Erinaceomorpha,Erinaceidae,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Dense vegetation and woodland,Omnivore,5,Solitary,Unknown,Unkown,Unknown,Thought to be one of the oldest mammals on Earth!,Unknown,BrownGreyTan,Spikes,12 mph,3-6 years,1-2kg (2.2-4.4lbs),Unknown,Unknown,Unknown,Unknown,"Owl, Dog, Foxes",Mammal,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Insects, Worms, Seeds",Unknown,Unknown,Unknown,Insects,Unknown,Unknown,Unknown,1,0,0,,1.5
Highland Cattle,"['Europe', 'North-America', 'Oceania']",Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,Bos Taurus,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Mountainous and wet grasslands,Herbivore,1,Herd,Unknown,Unkown,Unknown,Natively found in the Scottish Highlands!,Unknown,BrownTanOrange,Hair,25 mph,15-22 years,"400-1,000kg (882-2,204lbs)",Unknown,Unknown,Unknown,Unknown,"Human, Wolf, Coyote",Mammal,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Grass, Leaves, Flowers",Unknown,Unknown,Unknown,Grass,Unknown,Unknown,Unknown,1,0,0,800.0,800.0
Himalayan,['North-America'],Animalia,Chordata,Mammalia,Carnivora,Felidae,Felis,Felis catus,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Himalayan Persian, or Colourpoint Persian",Unknown,Unknown,Omnivore,4,Unknown,Himalayan,Unkown,Unknown,Also known as the Colourpoint Persian!,Longhair,FawnBlueWhiteCreamChocolate,Hair,Unknown,9-to-15 years,7-to-12 pounds,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Easy-going, calm and playful",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,,5.4431084400000005
Hippopotamus,['Africa'],Animalia,Chordata,Mammalia,Artiodactyla,Hippopotamidae,Hippopotamus,Hippopotamus amphibius,"Grasses, Grain, Flowers",Calf,Herd,"150,000",Hunting and habitat loss,"Ears, eyes and nostrils on top of the head","Common Hippopotamus, Water Horse",240 days,"Lakes, rivers and wetlands",Herbivore,1,Nocturnal,Hippopotamus,1.0,Sub-Saharan Africa,Has pink anti-bacterial sweat!,Mammal,BrownGreyBlackPink,Leather,30 mph,40 - 50 years,"1tonne - 4.5tonnes (2,200lbs - 9,900lbs)",2m - 5m (6.5ft - 16.5ft),6 - 14 years,18 months,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,350.52,90.718474
Hoary Bat,['North-America'],Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Lasiurus,Lasiurus cinereus,Insects,Pups,Solitary/Group,Unknown,Habitat loss,The white-tipped fur,None,Unknown,Forests and trees,Carnivore,Unknown,Unknown,Hoary Bat,1.0,The Americas,Unknown,Unknown,BrownGreyYellowBlackWhite,Hair,13 mph,6-7 years,20-35g (1oz),43cm (17in) with wings extended,About a year,34 days,1-4 pups,"Hawks, owls, kestrels, and snakes",Mammal,13-15cm (5-6in),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,43.0,0.035
Hokkaido,['Asia'],Animalia,Chordata,Mammalia,mam,Canidae,Canis,Canis lupus,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Omnivore,4 puppies,Unknown,Unknown,Unkown,Unknown,Unknown,Unknown,RedBlackWhiteTanBrindle,Hair,Unknown,12-15 years,44-66 pounds,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Docile, faithful, bold",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,1,0,,29.937096420000003
Honduran White Bat,['Central-America'],Animalia,Chordata,Mammalia,Chiroptera,Phyllostomidae,Ectophylla,Ectophylla alba,Unknown,Pup,Colony,"Unknown, but declining",Habitat loss,Its all white fur,Caribbean white tent-making bat,Three weeks,Unknown,Omnivore,Unknown,Unknown,White bat,Unkown,Central America,Unknown,Unknown,YellowWhite,Fur,20 mph,"Unknown, but related species have been known to live between seven and 18 years in nature.",.20 ounces,"1.46 to 1.85 inches, with 4-inch wingspan",35 days,20 days,One,Unknown,Mammal,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Figs,Unknown,Unknown,Unknown,1,0,0,215.9,0.0056699
Honey Badger,"['Africa', 'Asia']",Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Mellivora,Mellivora Capensis,"Bees, Insects, Small Animals, Bulbs, Roots, Bird Eggs",Kit,Unknown,Unknown,Humans,"Large, sharp claws",Ratel,6 Months,"Dry Areas, Grasslands, Forests",Omnivore,2,DiurnalCrepuscularor Nocturnal Depending on Region and Season,Honey Badger,1.0,"Africa, Asia, Indian Subcontinent",One of earth's bravest creatures!,Mammal,Unknown,Hair,Unknown,"7-8 years in the wild, 24 years in captivity",11 to 35 pounds,22 to 30 inches,1 to 2 Years,2 to 3 Months,Unknown,"Leopards, Spotted Hyenas, Pythons, Crocodiles",Unknown,9.1 to 11 inches,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,76.2,15.875732950000002
Hooded Seal,"['Europe', 'North-America']",Animalia,Chordata,Mammalia,Carnivora,Phocidae,Cystophora,Cystophora cristata,"Marine fish, shrimp and other crustaceans, octopus and squid.",Pup,Solitary,"650,000",Humans,The male’s inflatable “hood” and red nose balloon.,"Cystophora borealis and Phoca cristata. The first means “bladder-bearer of the north,” and the second means ""crested seal."" Also, bladdernose seal. Pups are called Blue-backs.",240 to 250 days.,Off the coasts of the Northern Atlantic and Arctic Oceans.,Omnivore,Unknown,Unknown,Hooded seal,1.0,"Around Labrador, Greenland, Norway, sometimes Maine and Alaska.",Unknown,Unknown,GreyBlueSilver,Fur,Unknown,35 years,352 to 661 pounds. Males are much heavier.,7 to 8 feet.,"2 to 9 years for females, 4 to 6 years for males.",5 to 12 days.,one,"Humans, killer whales, polar bears and Greenland sharks.",Mammal,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,228.6,299.82455657
Horgi,['North-America'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Omnivore,Unknown,Unknown,Unknown,Unkown,Unknown,Unknown,Unknown,FawnRedBlackCreamLight-Brown,Hair,Unknown,12 to 15 years,50 lbs,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Active and social,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,1,0,,22.6796185
Horse,"['Africa', 'Asia', 'Central-America', 'Eurasia', 'Europe', 'North-America', 'Oceania', 'South-America']",Animalia,Chordata,Mammalia,Perissodactyla,Equidae,Equus,Equus caballus,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Small forests and grassland,Herbivore,1,Herd,Unknown,Unkown,Unknown,Has evolved over 50 million years!,Unknown,BrownBlackWhite,Hair,40 mph,25-30 years,"380-550kg (840-1,200lbs)",Unknown,Unknown,Unknown,Unknown,"Human, Wolf, Bears",Mammal,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Grass, Fruit, Leaves",Unknown,Unknown,Unknown,Grass,Unknown,Unknown,Unknown,1,0,0,,465.0
Howler Monkey,"['Central-America', 'South-America']",Animalia,Chordata,Mammalia,Primates,Atelidae,Alouatta,Alouatta,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Rainforest and dense jungle,Omnivore,1,Troop,Unknown,Unkown,Unknown,Spends 80% of it's time resting!,Unknown,BrownBlackTan,Hair,18 mph,15-20 years,3-9kg (6.6-20lbs),Unknown,Unknown,Unknown,Unknown,"Jaguar, Snakes, Birds",Mammal,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Fruit, Nuts, Seeds",Unknown,Unknown,Unknown,Fruit,Unknown,Unknown,Unknown,1,0,0,,6.0
Human,"['Africa', 'Asia', 'Central-America', 'Eurasia', 'Europe', 'North-America', 'Oceania', 'South-America']",Animalia,Chordata,Mammalia,Primates,Hominidae,Homo,Homo Sapiens Sapiens,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Worldwide based near rivers,Omnivore,1,Group,Unknown,Unkown,Unknown,"Thought to have orignated 200,000 years ago!",Unknown,BrownBlackWhiteTanOlive,Smooth,18 mph,60-80 years,54-83kg (120-183lbs),Unknown,Unknown,Unknown,Unknown,"Bears, Lion, Tiger",Mammal,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Vegetables, Fruit, Fish",Unknown,Unknown,Unknown,Vegetables,Unknown,Unknown,Unknown,1,0,0,,68.5
